source_row_id,dialect,original_text,normalized_text,reason
313,MSA,مصطفى سالم استاذ القانون,مصطفي سالم استاذ القانون,too_short
315,DIAL_GLF,كنهم جماهير الوصل في,كنهم جماهير الوصل في,too_short
317,MSA,تحياتي . .,تحياتي,too_short
324,MSA,التخفيض ريال عند التاجر,التخفيض ريال عند التاجر,too_short
325,MSA,مجرد تسكيتة,مجرد تسكيته,too_short
331,DIAL_GLF,ياكثر اللي,ياكثر اللي,too_short
334,DIAL_GLF,يسويها,يسويها,too_short
335,MSA,انت اسد,انت اسد,too_short
338,DIAL_GLF,يا لبيه يا نجوم,يا لبيه يا نجوم,too_short
342,MSA,تشبيه,تشبيه,too_short
343,DIAL_LEV,اي على هالخبرية,اي علي هالخبريه,too_short
345,DIAL_EGY,وايه حكايه المشابك,وايه حكايه المشابك,too_short
349,MSA,جزاك الله خيرا اخى,جزاك الله خيرا اخي,too_short
352,DIAL_GLF,اما ثلاث مايشبعنه هالفتى,اما ثلاث مايشبعنه هالفتي,too_short
357,MSA,واحد,واحد,too_short
358,MSA,منتدى أكثر من,منتدي اكثر من,too_short
359,DIAL_EGY,ربنا يكرمك يا حنان,ربنا يكرمك يا حنان,too_short
361,MSA,عسل العشق اللذيذ !,عسل العشق اللذيذ,too_short
363,MSA,ربع سكان مصر يعانون من ضغط الدم,ربع سكان مصر يعانون من ضغط الدم,exact_duplicate
364,DIAL_GLF,حسبنا الله عليكم يالمرور,حسبنا الله عليكم يالمرور,too_short
365,MSA,في الكلام,في الكلام,too_short
366,MSA,صح لسانك دكتوره,صح لسانك دكتوره,too_short
367,MSA,قال لاتغضب,قال لاتغضب,too_short
369,DIAL_GLF,هالصوره فقط في,هالصوره فقط في,too_short
370,MSA,ويصير مثقف بعده,ويصير مثقف بعده,too_short
371,DIAL_LEV,حامض عنى,حامض عني,too_short
372,MSA,شي,شي,too_short
373,MSA,شي,شي,too_short
375,MSA,ظهورهم الاعلامي المرئي من,ظهورهم الاعلامي المريي من,too_short
378,MSA,الحمد لله,الحمد لله,too_short
379,MSA,الحمد لله,الحمد لله,too_short
380,MSA,اما هذا المجرم يجيب,اما هذا المجرم يجيب,too_short
385,DIAL_GLF,بس عندي,بس عندي,too_short
388,MSA,المهم . . َ !,المهم,too_short
390,MSA,اراها قطرات ماء عذبة .,اراها قطرات ماء عذبه,too_short
392,DIAL_GLF,يستاهل نادي,يستاهل نادي,too_short
393,DIAL_GLF,يستاهل نادي,يستاهل نادي,too_short
394,DIAL_GLF,يستاهل نادي,يستاهل نادي,too_short
398,MSA,,,empty_after_normalization
401,MSA,بدون تعليق,بدون تعليق,too_short
402,DIAL_GLF,اقول اولاً زين حصل,اقول اولا زين حصل,too_short
405,DIAL_LEV,البرغوثي ويا,البرغوثي ويا,too_short
408,MSA,انشر يا,انشر يا,too_short
419,DIAL_GLF,اليوم يرشاه فيزا ونتمنه,اليوم يرشاه فيزا ونتمنه,too_short
421,MSA,*ما هي العلاقة بين اللاهوت والناسوت على ضوء الحقائق التالية,ما هي العلاقه بين اللاهوت والناسوت علي ضوء الحقايق التاليه,exact_duplicate
422,MSA,الله,الله,too_short
423,MSA,إلى غريم الهلالي : رقم,الي غريم الهلالي رقم,too_short
425,DIAL_GLF,صيانه,صيانه,too_short
426,MSA,و 5 مليار ريال ؟ ؟,و 5 مليار ريال,too_short
430,MSA,لكون أفضل من في,لكون افضل من في,too_short
434,DIAL_GLF,والآن غالي معروف,والان غالي معروف,too_short
436,MSA,"الثلاثى الهمام : حوكة , ابوسليم ,",الثلاثي الهمام حوكه ابوسليم,too_short
442,DIAL_GLF,بس الموطان بيكون قوى,بس الموطان بيكون قوي,too_short
443,MSA,نهاية الديمقراطية .,نهايه الديمقراطيه,too_short
446,DIAL_LEV,ولا إشي أما زمن,ولا اشي اما زمن,too_short
447,MSA,وهم أبقى وأدوم للوطن . . .,وهم ابقي وادوم للوطن,too_short
450,MSA,صراحة قمة,صراحه قمه,too_short
455,MSA,حررني من قيدي فجورهم,حررني من قيدي فجورهم,too_short
464,DIAL_EGY,بس ده,بس ده,too_short
473,MSA,اوضحلك الامور,اوضحلك الامور,too_short
475,MSA,8 /,8,too_short
484,DIAL_EGY,إنه يخلى عنده إنسانية وميرفعش سعر الحديد ويراعى ال 80 مليون اللى عايزهم,انه يخلي عنده انسانيه وميرفعش سعر الحديد ويراعي ال 80 مليون اللي عايزهم,exact_duplicate
485,MSA,الخروج عن الحجاب والحشمة . .,الخروج عن الحجاب والحشمه,too_short
492,MSA,لا يلهيني ليالي ليلها,لا يلهيني ليالي ليلها,too_short
493,MSA,شكرا على الابداع يعطيك,شكرا علي الابداع يعطيك,too_short
498,MSA,هذا هو مستوى الهلال,هذا هو مستوي الهلال,too_short
507,DIAL_LEV,أنا مش,انا مش,too_short
510,DIAL_GLF,تو مازان المعرض بنجوم,تو مازان المعرض بنجوم,too_short
517,DIAL_GLF,ايش المقصد يعني,ايش المقصد يعني,too_short
518,DIAL_GLF,مع انه فلوسنا بتروح,مع انه فلوسنا بتروح,too_short
520,MSA,صفعة مفيدة,صفعه مفيده,too_short
521,DIAL_GLF,يسلمو يسلموا,يسلمو يسلموا,too_short
523,MSA,"كتاب "" البخلاء "" الصفحة رقم",كتاب البخلاء الصفحه رقم,too_short
528,MSA,معقول تحديث البيانات,معقول تحديث البيانات,too_short
530,MSA,وَعِصَابَةٍ سَرَقَتْ نَزيفَ,وعصابه سرقت نزيف,too_short
533,MSA,ابو,ابو,too_short
538,MSA,* ( الحور العين ! ! ) *,الحور العين,too_short
541,MSA,أذا توفرة,اذا توفره,too_short
545,DIAL_GLF,اقطعو يده علنا,اقطعو يده علنا,too_short
546,DIAL_GLF,الله,الله,too_short
548,DIAL_LEV,,,empty_after_normalization
549,MSA,انشالله,انشالله,too_short
561,DIAL_GLF,لأن لو فرضنا مواطن في عمري 23 سنه توه قدم على أرض يبيله 25 سنه لن تتكرمون عليه بقطعة أرض يعني وصل عمره 48 وأخذ صك القرض وقدم به على قرض وعشرين سنه ويصدر القرض يعني 68 سنه عمره وبعدها 3 سنوات فترة بناء يكون عمر المواطن 71 بس نتهي العماره يودونه,لان لو فرضنا مواطن في عمري 23 سنه توه قدم علي ارض يبيله 25 سنه لن تتكرمون عليه بقطعه ارض يعني وصل عمره 48 واخذ صك القرض وقدم به علي قرض وعشرين سنه ويصدر القرض يعني 68 سنه عمره وبعدها 3 سنوات فتره بناء يكون عمر المواطن 71 بس نتهي العماره يودونه,exact_duplicate
562,MSA,م أشرف عبد,م اشرف عبد,too_short
566,MSA,مالفئدة من التهكم على,مالفيده من التهكم علي,too_short
567,MSA,لا تبحث فلن,لا تبحث فلن,too_short
571,MSA,"للاسف , للاسف ,",للاسف للاسف,too_short
573,MSA,صانع لاعب على مستوى,صانع لاعب علي مستوي,too_short
576,MSA,الخلافات بين,الخلافات بين,too_short
579,MSA,امحق من جميلة لحيها,امحق من جميله لحيها,too_short
587,MSA,ال $ $ $,ال,too_short
591,MSA,الطبع يغلب التطبع . .,الطبع يغلب التطبع,too_short
592,MSA,الطبع يغلب التطبع . .,الطبع يغلب التطبع,too_short
594,MSA,كان,كان,too_short
595,MSA,الحسن عقيل,الحسن عقيل,too_short
598,DIAL_LEV,الكأس اليوم,الكاس اليوم,too_short
604,MSA,الى المنصات ولآنقبل يغير,الي المنصات ولانقبل يغير,too_short
606,DIAL_LEV,بس,بس,too_short
609,DIAL_GLF,,,empty_after_normalization
611,MSA,نايف هو الأم الحنون !,نايف هو الام الحنون,too_short
618,MSA,اخصائي,اخصايي,too_short
624,DIAL_LEV,له يا,له يا,too_short
627,MSA,- محمود,محمود,too_short
629,DIAL_GLF,وبالتوفيق للاتحاد,وبالتوفيق للاتحاد,too_short
639,MSA,حرام عليك نفسك ! !,حرام عليك نفسك,too_short
641,MSA,> رامي لكح وزيرا للاستثمار,رامي لكح وزيرا للاستثمار,too_short
646,DIAL_GLF,مدري من وين يشوفون,مدري من وين يشوفون,too_short
647,DIAL_LEV,صدق المثل يلي,صدق المثل يلي,too_short
651,MSA,يا هذا : ثوب الرياء يشف عما تحته . . . وإذا التحفت به فإنك,يا هذا ثوب الرياء يشف عما تحته واذا التحفت به فانك,exact_duplicate
658,DIAL_EGY,ربنا يبارك فيكو,ربنا يبارك فيكو,too_short
660,MSA,لأول مرة في حياتي لأا أخاف من أن أضع بياناتي كاملة وصحيحة حتي رقمي القومي علي موقع علي الأنترنت وهو موقع الجبهة الوطنية,لاول مره في حياتي لاا اخاف من ان اضع بياناتي كامله وصحيحه حتي رقمي القومي علي موقع علي الانترنت وهو موقع الجبهه الوطنيه,exact_duplicate
661,MSA,لأول مرة في حياتي لأا أخاف من أن أضع بياناتي كاملة وصحيحة حتي رقمي القومي علي موقع علي الأنترنت وهو موقع الجبهة الوطنية,لاول مره في حياتي لاا اخاف من ان اضع بياناتي كامله وصحيحه حتي رقمي القومي علي موقع علي الانترنت وهو موقع الجبهه الوطنيه,exact_duplicate
664,MSA,على أن ينفعوك بشئ,علي ان ينفعوك بشي,too_short
673,DIAL_GLF,شيء هبال وورونا,شيء هبال وورونا,too_short
676,MSA,فالجدللرئيس,فالجدللرييس,too_short
684,DIAL_LEV,يا هالشعر,يا هالشعر,too_short
686,MSA,الفيصلي بينت عيوبه,الفيصلي بينت عيوبه,too_short
690,DIAL_GLF,والنصر بيخسر الفلوس والنتيجه . .,والنصر بيخسر الفلوس والنتيجه,too_short
692,MSA,مبروك للوحدات وجماهير,مبروك للوحدات وجماهير,too_short
694,MSA,و تعلّم المستعمرون حقيقة ** تبقى لمن جهل العروبة,و تعلم المستعمرون حقيقه تبقي لمن جهل العروبه,exact_duplicate
703,DIAL_EGY,حكومة بتلعب بالبيضة والحجر,حكومه بتلعب بالبيضه والحجر,too_short
707,DIAL_EGY,دى حركة فاشلة باه,دي حركه فاشله باه,too_short
714,MSA,أما السائل,اما السايل,too_short
716,MSA,الهلاليون يكرمون,الهلاليون يكرمون,too_short
718,DIAL_LEV,هينا بنستنا نتائج هاي,هينا بنستنا نتايج هاي,too_short
723,MSA,طبقوا الاسلام,طبقوا الاسلام,too_short
725,MSA,اللهم ابدله دارا خيرا من داره واهلا خيرا من اهله وادخله الجنة واعذه من عذاب القبر ومن عذاب النار,اللهم ابدله دارا خيرا من داره واهلا خيرا من اهله وادخله الجنه واعذه من عذاب القبر ومن عذاب النار,exact_duplicate
726,MSA,اللهم ابدله دارا خيرا من داره واهلا خيرا من اهله وادخله الجنة واعذه من عذاب القبر ومن عذاب النار,اللهم ابدله دارا خيرا من داره واهلا خيرا من اهله وادخله الجنه واعذه من عذاب القبر ومن عذاب النار,exact_duplicate
727,MSA,اللهم ابدله دارا خيرا من داره واهلا خيرا من اهله وادخله الجنة واعذه من عذاب القبر ومن عذاب النار,اللهم ابدله دارا خيرا من داره واهلا خيرا من اهله وادخله الجنه واعذه من عذاب القبر ومن عذاب النار,exact_duplicate
728,MSA,اللهم ابدله دارا خيرا من داره واهلا خيرا من اهله وادخله الجنة واعذه من عذاب القبر ومن عذاب النار,اللهم ابدله دارا خيرا من داره واهلا خيرا من اهله وادخله الجنه واعذه من عذاب القبر ومن عذاب النار,exact_duplicate
729,MSA,اللهم ابدله دارا خيرا من داره واهلا خيرا من اهله وادخله الجنة واعذه من عذاب القبر ومن عذاب النار,اللهم ابدله دارا خيرا من داره واهلا خيرا من اهله وادخله الجنه واعذه من عذاب القبر ومن عذاب النار,exact_duplicate
730,MSA,اللهم ابدله دارا خيرا من داره واهلا خيرا من اهله وادخله الجنة واعذه من عذاب القبر ومن عذاب النار,اللهم ابدله دارا خيرا من داره واهلا خيرا من اهله وادخله الجنه واعذه من عذاب القبر ومن عذاب النار,exact_duplicate
741,MSA,فهى,فهي,too_short
742,MSA,العصبية لسيت من,العصبيه لسيت من,too_short
745,MSA,ان تكون مصر فوق,ان تكون مصر فوق,too_short
746,MSA,تعليق ( 50 ) صحيح ومؤيد,تعليق 50 صحيح ومويد,too_short
750,MSA,الحمدلله,الحمدلله,too_short
762,DIAL_EGY,او اخليه يجيب وسطة لنبوبة غاز الله يلعن,او اخليه يجيب وسطه لنبوبه غاز الله يلعن,exact_duplicate
777,DIAL_LEV,وليش انسجن,وليش انسجن,too_short
778,DIAL_GLF,الله يرجعه لأهله سالم .,الله يرجعه لاهله سالم,too_short
783,DIAL_GLF,يقولونه نشيونال جغرافك,يقولونه نشيونال جغرافك,too_short
787,DIAL_GLF,هذي اللياقه والا بلاش .,هذي اللياقه والا بلاش,too_short
796,DIAL_LEV,شكرا قناة الجزيرة لعبتو,شكرا قناه الجزيره لعبتو,too_short
799,DIAL_EGY,عشت ايامي باحلم اشوفك وسط الدنيا,عشت ايامي باحلم اشوفك وسط الدنيا,exact_duplicate
800,DIAL_EGY,عشت ايامي باحلم اشوفك وسط الدنيا,عشت ايامي باحلم اشوفك وسط الدنيا,exact_duplicate
801,DIAL_EGY,عشت ايامي باحلم اشوفك وسط الدنيا,عشت ايامي باحلم اشوفك وسط الدنيا,exact_duplicate
810,MSA,يسعد مساكم جميعا .,يسعد مساكم جميعا,too_short
813,DIAL_EGY,لاكن العيب مش عليكوا,لاكن العيب مش عليكوا,too_short
815,MSA,الاخ,الاخ,too_short
817,MSA,2 - انشغال الاباء بالدنيا و جمع المال على حساب حسن التربيه,2 انشغال الاباء بالدنيا و جمع المال علي حساب حسن التربيه,exact_duplicate
824,DIAL_GLF,,,empty_after_normalization
826,MSA,خالد محيي الدين,خالد محيي الدين,too_short
827,DIAL_GLF,انا حالتي مطفر مافيه,انا حالتي مطفر مافيه,too_short
838,DIAL_LEV,يعني حكومتنا الرشيده علمين,يعني حكومتنا الرشيده علمين,too_short
842,DIAL_GLF,وكيف بطلع,وكيف بطلع,too_short
845,MSA,خمسه ثانيه إن شاء,خمسه ثانيه ان شاء,too_short
853,DIAL_GLF,والهلال لقمهم بخمسه مثل,والهلال لقمهم بخمسه مثل,too_short
856,DIAL_GLF,لحاله ماله بقلبى,لحاله ماله بقلبي,too_short
857,MSA,وحرية,وحريه,too_short
864,DIAL_GLF,ياساتر جايين يشجعوا والا,ياساتر جايين يشجعوا والا,too_short
867,MSA,والله انتم,والله انتم,too_short
870,MSA,شكرا أهل,شكرا اهل,too_short
874,MSA,الأخ / خالدين رد ( 3,الاخ خالدين رد 3,too_short
875,MSA,ليله الجمعه,ليله الجمعه,too_short
876,MSA,ما ذنب المشترى,ما ذنب المشتري,too_short
879,MSA,,,empty_after_normalization
884,DIAL_GLF,,,empty_after_normalization
887,DIAL_GLF,وماتكون,وماتكون,too_short
888,MSA,ارجو,ارجو,too_short
889,MSA,ارجو,ارجو,too_short
890,MSA,ارجو,ارجو,too_short
892,MSA,ولأجل قدركما العالي .,ولاجل قدركما العالي,too_short
896,MSA,المصريون و ثقافة,المصريون و ثقافه,too_short
897,MSA,المصريون و ثقافة,المصريون و ثقافه,too_short
898,MSA,المصريون و ثقافة,المصريون و ثقافه,too_short
899,MSA,المصريون و ثقافة,المصريون و ثقافه,too_short
902,DIAL_GLF,ليش هذولا,ليش هذولا,too_short
907,MSA,أنا البرادعي,انا البرادعي,too_short
911,DIAL_GLF,«ياحياة الوِزى ، يامقعد,ياحياه الوزي يامقعد,too_short
915,MSA,بالنسبة للمونديال ففريق الجزائر قوي و سنهزم انجلترا و سلوفينيا و أمريكا برباعيات علما أن الفريق الجزائري برازيل إفريقيا و الجماهير المصرية مجبرة على مساندة الفريق الأخضر باعتباره حامل لواء الاسلام ضد الفرق الكافرة في المونديال كما قال ناذر,بالنسبه للمونديال ففريق الجزاير قوي و سنهزم انجلترا و سلوفينيا و امريكا برباعيات علما ان الفريق الجزايري برازيل افريقيا و الجماهير المصريه مجبره علي مسانده الفريق الاخضر باعتباره حامل لواء الاسلام ضد الفرق الكافره في المونديال كما قال ناذر,exact_duplicate
923,MSA,"ويشرح الكتاب الأسباب التى جعلت "" يسوع "" أكبر حاخام فى عصره ، حيث اعتبر الكتاب "" السيد المسيح "" يهوديا يمارس تأثيرا عظيما على الجمهور ويشرح الأسباب التى دفعت الحكّام الرومان لملاحقته",ويشرح الكتاب الاسباب التي جعلت يسوع اكبر حاخام في عصره حيث اعتبر الكتاب السيد المسيح يهوديا يمارس تاثيرا عظيما علي الجمهور ويشرح الاسباب التي دفعت الحكام الرومان لملاحقته,exact_duplicate
928,DIAL_GLF,عفطو لوحكم,عفطو لوحكم,too_short
932,DIAL_EGY,اقولك اماره .,اقولك اماره,too_short
933,DIAL_GLF,مبروك للشباب ويستاهل,مبروك للشباب ويستاهل,too_short
934,MSA,شكرا يالبى,شكرا يالبي,too_short
936,DIAL_GLF,سيارتنا غير,سيارتنا غير,too_short
943,DIAL_GLF,انتم مساكين ياباقي الاندية ماعندكم,انتم مساكين ياباقي الانديه ماعندكم,exact_duplicate
944,DIAL_GLF,انتم مساكين ياباقي الاندية ماعندكم,انتم مساكين ياباقي الانديه ماعندكم,exact_duplicate
947,MSA,قال سياحة,قال سياحه,too_short
953,MSA,احسن مافي,احسن مافي,too_short
957,DIAL_GLF,شي حلو بس لايكثر,شي حلو بس لايكثر,too_short
958,DIAL_LEV,الله يستر عليكي,الله يستر عليكي,too_short
960,DIAL_LEV,تحياتي لمارادونا يعطيك,تحياتي لمارادونا يعطيك,too_short
970,MSA,التغيير . . . التغيير . .,التغيير التغيير,too_short
971,MSA,التغيير . . . التغيير . .,التغيير التغيير,too_short
972,MSA,التغيير . . . التغيير . .,التغيير التغيير,too_short
975,MSA,جميل,جميل,too_short
978,MSA,وحمدالله على سلامتهم -,وحمدالله علي سلامتهم,too_short
988,MSA,ونرفع من شأن,ونرفع من شان,too_short
991,MSA,فعلا ملاحظه ذكيه وفى,فعلا ملاحظه ذكيه وفي,too_short
994,DIAL_LEV,والله حرام,والله حرام,too_short
1006,MSA,فهم سيقفون أمام أعظم,فهم سيقفون امام اعظم,too_short
1012,DIAL_EGY,دا ايه علاقته,دا ايه علاقته,too_short
1013,MSA,ثانيا : مواصفات خليفة,ثانيا مواصفات خليفه,too_short
1020,DIAL_EGY,هيهي . .,هيهي,too_short
1024,MSA,505,505,too_short
1025,DIAL_LEV,والله يخليلك,والله يخليلك,too_short
1037,MSA,اعتراض على,اعتراض علي,too_short
1045,MSA,امجاد ياعرب,امجاد ياعرب,too_short
1046,DIAL_EGY,إيه الساليزون ده ؟,ايه الساليزون ده,too_short
1047,MSA,يا لك من,يا لك من,too_short
1051,MSA,بالتوفيق,بالتوفيق,too_short
1059,MSA,10 ريال لحلاقة الرأس,10 ريال لحلاقه الراس,too_short
1063,MSA,والمنافقين والمطبلين للصوص,والمنافقين والمطبلين للصوص,too_short
1066,MSA,لنا البطولات ولهم,لنا البطولات ولهم,too_short
1069,MSA,قوله تعالى واتقوا يوما ترجعون فيه إلى الله ثم توفى كل نفس ما كسبت وهم لا يظلمون . .,قوله تعالي واتقوا يوما ترجعون فيه الي الله ثم توفي كل نفس ما كسبت وهم لا يظلمون,exact_duplicate
1072,MSA,والله ينصر الوحدات والكأس,والله ينصر الوحدات والكاس,too_short
1075,MSA,ويرحمهم,ويرحمهم,too_short
1076,MSA,فقد ولد من فرج,فقد ولد من فرج,too_short
1077,MSA,الزواج بنية المودة,الزواج بنيه الموده,too_short
1086,MSA,فالمثل قال الغالي,فالمثل قال الغالي,too_short
1087,MSA,والفائده ضائعه,والفايده ضايعه,too_short
1101,MSA,والله الموفق,والله الموفق,too_short
1102,DIAL_GLF,بس على بال ماتخلص,بس علي بال ماتخلص,too_short
1105,MSA,وصبر اهلها على ما,وصبر اهلها علي ما,too_short
1113,DIAL_GLF,بالتوفيق,بالتوفيق,too_short
1114,DIAL_EGY,ليه بس ياعم,ليه بس ياعم,too_short
1116,MSA,وهذه ليست,وهذه ليست,too_short
1138,DIAL_GLF,يبغى الناس تهج وتترك,يبغي الناس تهج وتترك,too_short
1145,MSA,"بالتوفيق للانتر , ,",بالتوفيق للانتر,too_short
1152,MSA,والكبير كبير يا,والكبير كبير يا,too_short
1155,MSA,عانسات بسبب العصبية القبلية ! !,عانسات بسبب العصبيه القبليه,too_short
1159,MSA,- محمد عبد,محمد عبد,too_short
1160,DIAL_EGY,مانت بتلعب,مانت بتلعب,too_short
1161,DIAL_GLF,ديرة تفتح النفس بكل,ديره تفتح النفس بكل,too_short
1167,MSA,هَذا قَمِيصِي فِيهِ وَجْهُ,هذا قميصي فيه وجه,too_short
1172,MSA,فعلن مظاهرة,فعلن مظاهره,too_short
1177,MSA,شعب,شعب,too_short
1180,MSA,بصراحه عليك ابداع رهيب,بصراحه عليك ابداع رهيب,too_short
1181,DIAL_GLF,ابنهم سالم,ابنهم سالم,too_short
1183,MSA,لمن يريد تعلم الانجليزية بل,لمن يريد تعلم الانجليزيه بل,exact_duplicate
1184,MSA,لمن يريد تعلم الانجليزية بل,لمن يريد تعلم الانجليزيه بل,exact_duplicate
1185,MSA,لمن يريد تعلم الانجليزية بل,لمن يريد تعلم الانجليزيه بل,exact_duplicate
