id,original_text,masked_text,mask_spans_json
test_000021,بعدين في نقطة مهمة الى حالتة متدهورة لها الدرجة و اوضاعة المادية زي الزفت ليش يجيب 7 اولاد ما دامة عارف حالة مارح يقدر يعيشهم يعني هلا متوسط الدخل بالاردن 300 دينار للعائلة ( متدني جدا ) واللة انة الشعب الردني تعبان من الدخل المتدني والسعار الي عمرها,بعدين في نقطة مهمة الى حالتة متدهورة لها الدرجة و اوضاعة المادية زي الزفت ليش يجيب [NUM_1] اولاد ما دامة عارف حالة مارح يقدر يعيشهم يعني هلا متوسط الدخل ب[LOC_1] [NUM_2] دينار للعائلة ( متدني جدا ) واللة انة الشعب الردني تعبان من الدخل المتدني والسعار الي عمرها,"[{""start"": 83, ""end"": 84, ""placeholder"": ""[NUM_1]"", ""surface_form"": ""7"", ""mask_type"": ""NUM""}, {""start"": 148, ""end"": 154, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""الاردن"", ""mask_type"": ""LOC""}, {""start"": 155, ""end"": 158, ""placeholder"": ""[NUM_2]"", ""surface_form"": ""300"", ""mask_type"": ""NUM""}]"
test_000026,باذن الله الكاس وحداتي سلم سلم سلامات والكأس للوحدات ونتمنى التقدم و النجاح لنادي الفيصلي بعد الخروج من,باذن الله الكاس وحداتي سلم سلم سلامات والكأس ل[ORG_1] ونتمنى التقدم و النجاح لنادي [ORG_2] بعد الخروج من,"[{""start"": 46, ""end"": 52, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""لوحدات"", ""mask_type"": ""ORG""}, {""start"": 82, ""end"": 89, ""placeholder"": ""[ORG_2]"", ""surface_form"": ""الفيصلي"", ""mask_type"": ""ORG""}]"
test_000028,وحقيقة قد لا أعرف ما يدور داخل مجلس ادارة نادي الوحدات والمشاكل التي يمرون بها ، ولكن إذا كان هناك مشاكل كبيرة مثلما يقال فإن هذا سوف يؤثر كثيراً على اللاعبين وعطاءهم في الملعب لأنهم يعرفون ما الذي يحصل في ناديهم ومجلس ادارته ، فهذا الفيصلي تأثر كثيراً في المشاكل التي كانت تحدث في مجلس ادارته وتغيب عن البطولات لمدة ( 3 ) سنوات متتالية ، فقد يحب مجلس ادارة نادي الوحدات ابتعاد المارد الأخضر الابتعاد لفترة عن البطولات أم أن يتم حل هذه المشاكل في سبيل مصلحة النادي ؟ ؟,وحقيقة قد لا أعرف ما يدور داخل مجلس ادارة نادي [ORG_1] والمشاكل التي يمرون بها ، ولكن إذا كان هناك مشاكل كبيرة مثلما يقال فإن هذا سوف يؤثر كثيراً على اللاعبين وعطاءهم في الملعب لأنهم يعرفون ما الذي يحصل في ناديهم ومجلس ادارته ، فهذا [ORG_2] تأثر كثيراً في المشاكل التي كانت تحدث في مجلس ادارته وتغيب عن البطولات لمدة ( [NUM_1] ) سنوات متتالية ، فقد يحب مجلس ادارة نادي [ORG_1] ابتعاد المارد الأخضر الابتعاد لفترة عن البطولات أم أن يتم حل هذه المشاكل في سبيل مصلحة النادي ؟ ؟,"[{""start"": 47, ""end"": 54, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الوحدات"", ""mask_type"": ""ORG""}, {""start"": 233, ""end"": 240, ""placeholder"": ""[ORG_2]"", ""surface_form"": ""الفيصلي"", ""mask_type"": ""ORG""}, {""start"": 319, ""end"": 320, ""placeholder"": ""[NUM_1]"", ""surface_form"": ""3"", ""mask_type"": ""NUM""}, {""start"": 363, ""end"": 370, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الوحدات"", ""mask_type"": ""ORG""}]"
test_000030,"ونادي الشباب نادي يقدم الكثير للمنتخب , ويستحق هذه الإشادة والمساندة","ونادي [ORG_1] نادي يقدم الكثير للمنتخب , ويستحق هذه الإشادة والمساندة","[{""start"": 6, ""end"": 12, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الشباب"", ""mask_type"": ""ORG""}]"
test_000033,محمد عبدالجواد : ثقيل الدم مهما حاول تقديم نفسه بانه ظريف وصاحب نكته يظل عاجزا ومن الصعب هضمه شكلا ومضمونا,[PERSON_1] [PERSON_2] : ثقيل الدم مهما حاول تقديم نفسه بانه ظريف وصاحب نكته يظل عاجزا ومن الصعب هضمه شكلا ومضمونا,"[{""start"": 0, ""end"": 4, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""محمد"", ""mask_type"": ""PERSON""}, {""start"": 5, ""end"": 14, ""placeholder"": ""[PERSON_2]"", ""surface_form"": ""عبدالجواد"", ""mask_type"": ""PERSON""}]"
test_000034,الى الاخ مصرى خايف على,الى الاخ [LOC_1] خايف على,"[{""start"": 9, ""end"": 13, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""مصرى"", ""mask_type"": ""LOC""}]"
test_000037,فلو كان هناك ناديا ينافس الوحدات غير الفيصلي فسيكون نفس الجمهور يشجع ذلك,فلو كان هناك ناديا ينافس [ORG_1] غير [ORG_2] فسيكون نفس الجمهور يشجع ذلك,"[{""start"": 25, ""end"": 32, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الوحدات"", ""mask_type"": ""ORG""}, {""start"": 37, ""end"": 44, ""placeholder"": ""[ORG_2]"", ""surface_form"": ""الفيصلي"", ""mask_type"": ""ORG""}]"
test_000041,وش ذاء بعد ممثل جديد ما اعرفه والمشكله يقول انه فسخ عقد احتكار وربى ضحكت لا وكوميدى لا يكون توم كروز وانا ما اخذت بالى والله حوسه الفن . . عموما ما اعرفه ولا قد,وش ذاء بعد ممثل جديد ما اعرفه والمشكله يقول انه فسخ عقد احتكار وربى ضحكت لا وكوميدى لا يكون [PERSON_1] وانا ما اخذت بالى والله حوسه الفن . . عموما ما اعرفه ولا قد,"[{""start"": 92, ""end"": 100, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""توم كروز"", ""mask_type"": ""PERSON""}]"
test_000043,ياهذا قد وردني اكثر من مقال لك لايعجبك فيه ابن القيم والحقيقه لااعلم من تكون لتتحدث عن شيخ,ياهذا قد وردني اكثر من مقال لك لايعجبك فيه [PERSON_1] والحقيقه لااعلم من تكون لتتحدث عن شيخ,"[{""start"": 43, ""end"": 52, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""ابن القيم"", ""mask_type"": ""PERSON""}]"
test_000044,هو الشيخ الجندى ما يعرفش بأن الحلف بغير الله شرك وكان عليه الوقف المهزلة بالأستهتار بالمصحف للدرجة دية وهو انتم شوفتم عمركه حد من الأخوة الأقباط بيحلف بالأنجيل بالمنظر دة وبعدين ازاى انا اعاقب ابنى على الحلفان بالمصحف وهو شايف الناس ئلى المفروض القدوة بتعتنا بيحلفوا على المصحف بهذا المنظر السخيف والله هو الأعلم اذا كان ئلى ماسك المصحف اصلا صادق ولا لأوالله عيب على الأعلامى محمود سعد انه يوضع نفسه فى هذا الموقف وربنا يهدينا ويهيهم,هو الشيخ [PERSON_1] ما يعرفش بأن الحلف بغير الله شرك وكان عليه الوقف المهزلة بالأستهتار بالمصحف للدرجة دية وهو انتم شوفتم عمركه حد من الأخوة الأقباط بيحلف بالأنجيل بالمنظر دة وبعدين ازاى انا اعاقب ابنى على الحلفان بالمصحف وهو شايف الناس ئلى المفروض القدوة بتعتنا بيحلفوا على المصحف بهذا المنظر السخيف والله هو الأعلم اذا كان ئلى ماسك المصحف اصلا صادق ولا لأوالله عيب على الأعلامى [PERSON_2] انه يوضع نفسه فى هذا الموقف وربنا يهدينا ويهيهم,"[{""start"": 9, ""end"": 15, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""الجندى"", ""mask_type"": ""PERSON""}, {""start"": 376, ""end"": 385, ""placeholder"": ""[PERSON_2]"", ""surface_form"": ""محمود سعد"", ""mask_type"": ""PERSON""}]"
test_000046,عقبال ما نشوف امك و اختك و مراتك وبنتك بيتفتشو من شباب مصر كلهم يا عديم,عقبال ما نشوف امك و اختك و مراتك وبنتك بيتفتشو من شباب [LOC_1] كلهم يا عديم,"[{""start"": 55, ""end"": 58, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""مصر"", ""mask_type"": ""LOC""}]"
test_000047,ياباسم ارحم نفسك شويه انت لسه عايش زمن التهديدات والغزو والكلام ده ؟ هو كان الاشاوس الغزاه اجداك اللى جاؤا من جزيره العرب محو الكنائس وخلصوا على المسيحيين واليهود اساسا اللى كانوا عايشين فى مصر لما انتم بقى حتعرفوا ؟ صدقنى انت مسكين جدا ومثير للشفقه عارف ليه ؟ ؟ لان كل اعتمادكم يا مسلميين على القوه الارضيه من سلاح وتعصب وحرب وطبعا سرقه وغنائم ! وبعدين نهايه كل انسان هو الموت وايه المشكله يعنى,يا[PERSON_1] ارحم نفسك شويه انت لسه عايش زمن التهديدات والغزو والكلام ده ؟ هو كان الاشاوس الغزاه اجداك اللى جاؤا من [LOC_1] محو الكنائس وخلصوا على المسيحيين واليهود اساسا اللى كانوا عايشين فى [LOC_2] لما انتم بقى حتعرفوا ؟ صدقنى انت مسكين جدا ومثير للشفقه عارف ليه ؟ ؟ لان كل اعتمادكم يا مسلميين على القوه الارضيه من سلاح وتعصب وحرب وطبعا سرقه وغنائم ! وبعدين نهايه كل انسان هو الموت وايه المشكله يعنى,"[{""start"": 2, ""end"": 6, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""باسم"", ""mask_type"": ""PERSON""}, {""start"": 110, ""end"": 121, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""جزيره العرب"", ""mask_type"": ""LOC""}, {""start"": 190, ""end"": 193, ""placeholder"": ""[LOC_2]"", ""surface_form"": ""مصر"", ""mask_type"": ""LOC""}]"
test_000048,وتحياتي ل كاسياس انقذ الفريق من اهداف محققه بفضل خبرته وتركيزه العالي يستاهلو الاسبان كلهم نجوم بدون منازع حتى اصغرهم نجم مبروك النجمه الاولى وعقبال الثانيه,وتحياتي ل [PERSON_1] انقذ الفريق من اهداف محققه بفضل خبرته وتركيزه العالي يستاهلو [LOC_1] كلهم نجوم بدون منازع حتى اصغرهم نجم مبروك النجمه الاولى وعقبال الثانيه,"[{""start"": 10, ""end"": 16, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""كاسياس"", ""mask_type"": ""PERSON""}, {""start"": 78, ""end"": 85, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""الاسبان"", ""mask_type"": ""LOC""}]"
test_000052,اتمنى للدكتور صالح آل الشيخ التوفيق وللهيئه الجديده الاستمرار وتحقيق النجاح المطلوب,اتمنى للدكتور [PERSON_1] التوفيق وللهيئه الجديده الاستمرار وتحقيق النجاح المطلوب,"[{""start"": 14, ""end"": 27, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""صالح آل الشيخ"", ""mask_type"": ""PERSON""}]"
test_000053,فريق لعب خمسين مباراة وحش في الدوري وممكن يكون خد المركز الأخير ولعب العشر مباريات بتوعه في كاس مصر كويس جداً وفاز بكاس مصر ، هل مايستحقش الكاس لأن مبارياته في الدوري وحشة ؟ عيب عليكم والله ، كفاية تعصب ، الجزائر كانت أحسن مننا في مباريات تصفيات كاس العالم حتي لو بفرق ضئيل ، بس استحقوها ، حتي لو لعبوا كل مبارياتهم الباقية بشكل وحش ، برضه بالنسبة لكاس العالم وتصفياته استحقوا,فريق لعب [NUM_1] مباراة وحش في الدوري وممكن يكون خد المركز الأخير ولعب العشر مباريات بتوعه في كاس [LOC_1] كويس جداً وفاز بكاس [LOC_1] ، هل مايستحقش الكاس لأن مبارياته في الدوري وحشة ؟ عيب عليكم والله ، كفاية تعصب ، [LOC_2] كانت أحسن مننا في مباريات تصفيات كاس العالم حتي لو بفرق ضئيل ، بس استحقوها ، حتي لو لعبوا كل مبارياتهم الباقية بشكل وحش ، برضه بالنسبة لكاس العالم وتصفياته استحقوا,"[{""start"": 9, ""end"": 14, ""placeholder"": ""[NUM_1]"", ""surface_form"": ""خمسين"", ""mask_type"": ""NUM""}, {""start"": 96, ""end"": 99, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""مصر"", ""mask_type"": ""LOC""}, {""start"": 120, ""end"": 123, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""مصر"", ""mask_type"": ""LOC""}, {""start"": 205, ""end"": 212, ""placeholder"": ""[LOC_2]"", ""surface_form"": ""الجزائر"", ""mask_type"": ""LOC""}]"
test_000054,فادي - ممن ولدوا وعاشوا في الكويت,[PERSON_1] - ممن ولدوا وعاشوا في [LOC_1],"[{""start"": 0, ""end"": 4, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""فادي"", ""mask_type"": ""PERSON""}, {""start"": 27, ""end"": 33, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""الكويت"", ""mask_type"": ""LOC""}]"
test_000057,مين بعرفوش مين ماشاشفوش رأفت ابن عالحاج علي ثعلب وفنان وساحر الكره,مين بعرفوش مين ماشاشفوش [PERSON_1] ابن عالحاج علي ثعلب وفنان وساحر الكره,"[{""start"": 24, ""end"": 28, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""رأفت"", ""mask_type"": ""PERSON""}]"
test_000059,"بس كله بهون مع الجمعة ولمة العيلة 22 سنة من الغربة وكل سنة بنحكي بكفي هاي اخر سنة , , بس بنرجع وبنحكي هاس السنة الأولاد في الجامعة , هاي السنة بدنا نجوز الولد , هاي السنة , بدنا نبني بيت وسنة بتجر سنة . . . هاد موال كل","بس كله بهون مع الجمعة ولمة العيلة [NUM_1] سنة من الغربة وكل سنة بنحكي بكفي هاي اخر سنة , , بس بنرجع وبنحكي هاس السنة الأولاد في الجامعة , هاي السنة بدنا نجوز الولد , هاي السنة , بدنا نبني بيت وسنة بتجر سنة . . . هاد موال كل","[{""start"": 34, ""end"": 36, ""placeholder"": ""[NUM_1]"", ""surface_form"": ""22"", ""mask_type"": ""NUM""}]"
test_000062,مشكله ابومصر . . صدق عمره عقب,مشكله [PERSON_1] . . صدق عمره عقب,"[{""start"": 6, ""end"": 12, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""ابومصر"", ""mask_type"": ""PERSON""}]"
test_000063,• للقطط أكثر من مائة صوت بينما للكلاب عشرة أصوات ، والعربي بلا صوت,• للقطط أكثر من [NUM_1] صوت بينما للكلاب [NUM_2] أصوات ، والعربي بلا صوت,"[{""start"": 16, ""end"": 20, ""placeholder"": ""[NUM_1]"", ""surface_form"": ""مائة"", ""mask_type"": ""NUM""}, {""start"": 38, ""end"": 42, ""placeholder"": ""[NUM_2]"", ""surface_form"": ""عشرة"", ""mask_type"": ""NUM""}]"
test_000064,كفو ياشبية الريح واخوانا الشبابيين يستاهلون كل خير,كفو ياشبية الريح واخوانا [ORG_1] يستاهلون كل خير,"[{""start"": 25, ""end"": 34, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الشبابيين"", ""mask_type"": ""ORG""}]"
test_000065,تحيه الى المبدع الرائع السيد خالد الخطاطبه المحترم كل يوم احلى من اللي قبله اخبار طازه وجديده ومنوعه والى الامام,تحيه الى المبدع الرائع السيد [PERSON_1] المحترم كل يوم احلى من اللي قبله اخبار طازه وجديده ومنوعه والى الامام,"[{""start"": 29, ""end"": 42, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""خالد الخطاطبه"", ""mask_type"": ""PERSON""}]"
test_000066,لا جديد عند الصندوق مثل كل مره الأغلبية من الرياض كأن لا يوجد متوفين إلا عندهم ؟,لا جديد عند الصندوق مثل كل مره الأغلبية من [LOC_1] كأن لا يوجد متوفين إلا عندهم ؟,"[{""start"": 43, ""end"": 49, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""الرياض"", ""mask_type"": ""LOC""}]"
test_000067,ماعليه وانا اقولها اللاعب سيلعب المبارة بكل الاحوال اخذ ولا ماخذ مستحقاته وسيسجل فيكم صفعة اهداف كما صفع ياسركم,ماعليه وانا اقولها اللاعب سيلعب المبارة بكل الاحوال اخذ ولا ماخذ مستحقاته وسيسجل فيكم صفعة اهداف كما صفع [PERSON_1]كم,"[{""start"": 105, ""end"": 109, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""ياسر"", ""mask_type"": ""PERSON""}]"
test_000068,المباراة في 30 - تموز 7 ومن هلأ بتكتبوا عنها ؟ ؟,المباراة في [DATE_1] ومن هلأ بتكتبوا عنها ؟ ؟,"[{""start"": 12, ""end"": 23, ""placeholder"": ""[DATE_1]"", ""surface_form"": ""30 - تموز 7"", ""mask_type"": ""DATE""}]"
test_000069,والله اذا هاي صورتها ما أظن انها تتزوج على الاطلاق ها بتنفع تمثل بفليم رعب على الmbc 2 والقصة تكون أنها بتقتل كل زوج بتزوجها في ليلة الزفاف وبتقطه وبتأكلوا أو بطعميه للكلاب,والله اذا هاي صورتها ما أظن انها تتزوج على الاطلاق ها بتنفع تمثل بفليم رعب على ال[ORG_1] والقصة تكون أنها بتقتل كل زوج بتزوجها في ليلة الزفاف وبتقطه وبتأكلوا أو بطعميه للكلاب,"[{""start"": 81, ""end"": 86, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""mbc 2"", ""mask_type"": ""ORG""}]"
test_000070,انا بااحترم كل المسيحين اللى على ارض مصر وياريت التعليقات اللى فيها سخرية من المسيحين ما تزعلهومش لان اكيد اللى كاتبها غرضة التعصب وفرقتنا اللى لو حصلت مصر,انا بااحترم كل المسيحين اللى على ارض [LOC_1] وياريت التعليقات اللى فيها سخرية من المسيحين ما تزعلهومش لان اكيد اللى كاتبها غرضة التعصب وفرقتنا اللى لو حصلت [LOC_1],"[{""start"": 37, ""end"": 40, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""مصر"", ""mask_type"": ""LOC""}, {""start"": 152, ""end"": 155, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""مصر"", ""mask_type"": ""LOC""}]"
test_000072,بيقولك مرة واحد صعيدى طلع الهرم معرفش ينزل,بيقولك مرة واحد صعيدى طلع [LOC_1] معرفش ينزل,"[{""start"": 26, ""end"": 31, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""الهرم"", ""mask_type"": ""LOC""}]"
test_000073,وعند دخولة النادي التف حولة عدد كبير من انصاره - يامصيبة هو فى في لسة زملكاوي واحد عاقل وبيفهم لسة يقول على مرتضى منصور بيحب الزمالك ده اكتر واحد خرب نادى الزمالك واكتر واحد يحب مصالحه الشخصية فقط وطظ فى الزمالك ده اثبت بما لايدع اي مجال للشك انه اهلاوي اكتر من صالح سليم نفسه يازملكاوية فوقوا بقة ده هو قائد الطابور الخامس فى,وعند دخولة النادي التف حولة عدد كبير من انصاره - يامصيبة هو فى في لسة زملكاوي واحد عاقل وبيفهم لسة يقول على [PERSON_1] [PERSON_2] بيحب [ORG_1] ده اكتر واحد خرب نادى [ORG_1] واكتر واحد يحب مصالحه الشخصية فقط وطظ فى [ORG_1] ده اثبت بما لايدع اي مجال للشك انه اهلاوي اكتر من [PERSON_3] [PERSON_4] نفسه يازملكاوية فوقوا بقة ده هو قائد الطابور الخامس فى,"[{""start"": 108, ""end"": 113, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""مرتضى"", ""mask_type"": ""PERSON""}, {""start"": 114, ""end"": 119, ""placeholder"": ""[PERSON_2]"", ""surface_form"": ""منصور"", ""mask_type"": ""PERSON""}, {""start"": 125, ""end"": 132, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الزمالك"", ""mask_type"": ""ORG""}, {""start"": 155, ""end"": 162, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الزمالك"", ""mask_type"": ""ORG""}, {""start"": 204, ""end"": 211, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الزمالك"", ""mask_type"": ""ORG""}, {""start"": 262, ""end"": 266, ""placeholder"": ""[PERSON_3]"", ""surface_form"": ""صالح"", ""mask_type"": ""PERSON""}, {""start"": 267, ""end"": 271, ""placeholder"": ""[PERSON_4]"", ""surface_form"": ""سليم"", ""mask_type"": ""PERSON""}]"
test_000074,خشية من نشوب نار الفتنة بين دبابتها لأن الفتان فتانا ولو في سيبيريا,خشية من نشوب نار الفتنة بين دبابتها لأن الفتان فتانا ولو في [LOC_1],"[{""start"": 60, ""end"": 67, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""سيبيريا"", ""mask_type"": ""LOC""}]"
test_000077,فين وزارة البحث العلمى فين وزارة غير وزارة الصحة اسمها وزارة بحث,فين [ORG_1] فين وزارة غير [ORG_2] اسمها وزارة بحث,"[{""start"": 4, ""end"": 22, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""وزارة البحث العلمى"", ""mask_type"": ""ORG""}, {""start"": 37, ""end"": 48, ""placeholder"": ""[ORG_2]"", ""surface_form"": ""وزارة الصحة"", ""mask_type"": ""ORG""}]"
test_000078,بيقولى ( دلع عينى دلع البرادعى عملها وخلع,بيقولى ( دلع عينى دلع [PERSON_1] عملها وخلع,"[{""start"": 22, ""end"": 30, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""البرادعى"", ""mask_type"": ""PERSON""}]"
