id,original_text,masked_text
train_000019,ولعائله من خمس افراد ( طلاب ومعيل ) 120,ولعائله من [NUM_1] افراد ( طلاب ومعيل ) [NUM_2]
train_000020,انت فايق يا فايز بخمس شقق في احسن,انت فايق يا [PERSON_1] بخمس شقق في احسن
train_000021,أرجو من السادة القراء الرد بموضوعية وبلا,أرجو من السادة القراء الرد بموضوعية وبلا
train_000022,صور متفق عليها من قبل الموافقين عليها وعيب تعملوا موضوع من لا,صور متفق عليها من قبل الموافقين عليها وعيب تعملوا موضوع من لا
train_000023,وأحبك تطبل تهلل تهبل عشان متش كورة وموفي,وأحبك تطبل تهلل تهبل عشان متش كورة وموفي
train_000024,ويسعد صباح الجماهير الخضراء وجماهير غزلان,ويسعد صباح الجماهير الخضراء وجماهير [PERSON_1]
train_000025,بجد ياسارة برافو عليكي . . الموضوع تحفة ومكتوب حلو اوى . . . واحلى حاجة فيه ان انا كنت اعرف الراجل ده كويس من ايام لما كنت فى الجامعة وكان فى مكتبة جنبه بيقف جنبها كنا بنصور فيها الورق وبنشترى منها الكتب وكانت لما بتكون زحمة كنا بنقعد نستنى برة ونتكلم معاه ونشترى منه الحركنش . . الراجل ده بجد زى العسل وليه طريقة حلوة اوى وهو بيقول حرنكش كانت بتخلينا نقعد نضحك وكنت بحس انه بيقولها بالطريقة دى بالذات علشان يخلينا نضحك ويجذب انتبهنا وينسينا ارف الجامعة والامتحانات . . بجد انتى هايلة ياسارة . . ربنا يكرمك وتبقى احلى صحفية فى,بجد يا[PERSON_1] برافو عليكي . . الموضوع تحفة ومكتوب حلو اوى . . . واحلى حاجة فيه ان انا كنت اعرف الراجل ده كويس من ايام لما كنت فى الجامعة وكان فى مكتبة جنبه بيقف جنبها كنا بنصور فيها الورق وبنشترى منها الكتب وكانت لما بتكون زحمة كنا بنقعد نستنى برة ونتكلم معاه ونشترى منه الحركنش . . الراجل ده بجد زى العسل وليه طريقة حلوة اوى وهو بيقول حرنكش كانت بتخلينا نقعد نضحك وكنت بحس انه بيقولها بالطريقة دى بالذات علشان يخلينا نضحك ويجذب انتبهنا وينسينا ارف الجامعة والامتحانات . . بجد انتى هايلة يا[PERSON_1] . . ربنا يكرمك وتبقى احلى صحفية فى
train_000026,بصراحة مثل ما قال اخ من قبل ، اننا بطلنا نصوت لاحد من بعد ما شافت حالها ديانا كرزون وغيرت من ملامحها ، وصارت مغروره ، يعني تعقدنا وبطلنا نصوت لاحد بس ما بقول انه صوت رمضان مش حلو,بصراحة مثل ما قال اخ من قبل ، اننا بطلنا نصوت لاحد من بعد ما شافت حالها [PERSON_1] [PERSON_2] وغيرت من ملامحها ، وصارت مغروره ، يعني تعقدنا وبطلنا نصوت لاحد بس ما بقول انه صوت [PERSON_3] مش حلو
train_000027,و بعين الله ، بدك فيزا وتذكرة طيارة ومصروف بكفي لآخر الدورة وبس . !,و بعين الله ، بدك فيزا وتذكرة طيارة ومصروف بكفي لآخر الدورة وبس . !
train_000028,البلد محتاجة ناس عندها دم وضمير تديرها لان الفساد تفشى واصبح في كل,البلد محتاجة ناس عندها دم وضمير تديرها لان الفساد تفشى واصبح في كل
train_000029,متى يكون هدفنا هو رفع راية الإسلام و نترك الحزبية و القومية,متى يكون هدفنا هو رفع راية الإسلام و نترك الحزبية و القومية
train_000030,ولا يقل جودة عن : زهير و النابغة وامرئ القيس والبحترى وجرير والفرزدق,ولا يقل جودة عن : [PERSON_1] و [PERSON_2] و[PERSON_3] و[PERSON_4] و[PERSON_5] و[PERSON_6]
train_000031,والله إذا الرجال شايف نفسه انه يجلس في,والله إذا الرجال شايف نفسه انه يجلس في
train_000032,كنت أتمنى أن تصدر بحقك ياسامي عقوبة أكبر لمكانتك . . كي يتعظ من هو في غير مرتبتك .,كنت أتمنى أن تصدر بحقك يا[PERSON_1] عقوبة أكبر لمكانتك . . كي يتعظ من هو في غير مرتبتك .
train_000033,بصرحه انتو مسبتوليش حاجه اقولها عين العقل حماقي حببنا وحيفضل كده على,بصرحه انتو مسبتوليش حاجه اقولها عين العقل [PERSON_1] حببنا وحيفضل كده على
train_000034,طب ما احنا في الاردن اخنرعنا الجميد السائل عبر تطوير تكنولوجيا جديدة لهرسه و ما رحنا فضحنا العالم في هالاختراع العظيم . . . يللا النا الجنة و ارتفاع,طب ما احنا في [LOC_1] اخنرعنا الجميد السائل عبر تطوير تكنولوجيا جديدة لهرسه و ما رحنا فضحنا العالم في هالاختراع العظيم . . . يللا النا الجنة و ارتفاع
train_000035,يجب اعطاء الفرصه لذابح لتسجيل هاتريك سوبر هاتريك اتمنى من الاداره العالميه بقيادة الرئيس العالمي كحيلان ان لا,يجب اعطاء الفرصه لذابح لتسجيل هاتريك سوبر هاتريك اتمنى من الاداره العالميه بقيادة الرئيس العالمي [PERSON_1] ان لا
train_000036,بصراحه اهم مافي المقال استشهادك بآيه,بصراحه اهم مافي المقال استشهادك بآيه
train_000037,بتعرفوا شو ؟ ؟ مسكين اللي ما عنده,بتعرفوا شو ؟ ؟ مسكين اللي ما عنده
train_000038,هل كانت أمة الطاهرة تعلم أنة اله,هل كانت أمة الطاهرة تعلم أنة اله
train_000039,طبعا اشي اكيد اي فريق بالعالم بصير فيه هيك بس الوحدات لازم يعالج اموره قبل فوات,طبعا اشي اكيد اي فريق بالعالم بصير فيه هيك بس [ORG_1] لازم يعالج اموره قبل فوات
train_000040,بس والله فكرة حلوة ان الي هياخد التار يرمي الي عايز يموته في التهلكة ويقول بمنتهى السعادة انا خدت بالتار . . . موضة,بس والله فكرة حلوة ان الي هياخد التار يرمي الي عايز يموته في التهلكة ويقول بمنتهى السعادة انا خدت بالتار . . . موضة
train_000041,بعدين شكلك نسيت الخسارتين بالاربعه من فريق المجد السوري ( خامس الدوري انذاك ),بعدين شكلك نسيت الخسارتين بال[NUM_1] من فريق [ORG_1] ( خامس الدوري انذاك )
train_000042,انا افهم الشعر النبضي الصحراوي واتزوقه بجدارة كأني بدوية ولكن إستعصى على تزوق هذه,انا افهم الشعر النبضي الصحراوي واتزوقه بجدارة كأني بدوية ولكن إستعصى على تزوق هذه
train_000043,مش كفاية اللى عملته امريكا فى العراق,مش كفاية اللى عملته [LOC_1] فى [LOC_2]
train_000044,يا اخي انتا اكثر ما انك بتحكي وبتودي مسج لشو بتستعمل الايميل ؟ ؟,يا اخي انتا اكثر ما انك بتحكي وبتودي مسج لشو بتستعمل الايميل ؟ ؟
train_000045,ما هو لو شيرين قالت لا ح تبطل شيرين ح ينادوها شاكر ! !,ما هو لو [PERSON_1] قالت لا ح تبطل [PERSON_1] ح ينادوها [PERSON_2] ! !
train_000046,اول شي للاخوة اللي بيحكو انه الفيصلي مستواه ممتاز انا بحكيلهم انه الفيصلي وضعه ممتاز فقط مع الفرق الضعيفة اما مع الفرق القوية مثل الوحدات وشباب الاردن فحدث ولا حرج ، ثاني شي اذا بدكو تتكلمو عن المشاركات الخارجية ياريت ترجعو لاخر مرة شاركتو فيها وكيف كان مستوى الفيصلي خارجياواذا بتحبو بعطيكو نتائج مباريات الفيصلي علشان تشوفو مستواه ، وبالبنسبة لفريق الوحدات انا بقول انه مستواه متراجع اكيد ولكن الحل باحضار لاعبين محترفين جدد في خط الهجوم لانه بالحقيقة لايوجد هجوم في الفريق يعني شلباية نوعا ما كويس ولكنه يحتاج الى محترف لتقوية خط الهجوم وكذلك تقوية خط الدفاع ، ولكن احضار مدرب ممتاز مع نفس الفريق بدون لاعبين جدد لا اتوقع انه يصير اي تحسن على مستوى الفريق,اول شي للاخوة اللي بيحكو انه [ORG_1] مستواه ممتاز انا بحكيلهم انه [ORG_1] وضعه ممتاز فقط مع الفرق الضعيفة اما مع الفرق القوية مثل [ORG_2] و[ORG_3] فحدث ولا حرج ، ثاني شي اذا بدكو تتكلمو عن المشاركات الخارجية ياريت ترجعو لاخر مرة شاركتو فيها وكيف كان مستوى [ORG_1] خارجياواذا بتحبو بعطيكو نتائج مباريات [ORG_1] علشان تشوفو مستواه ، وبالبنسبة لفريق [ORG_2] انا بقول انه مستواه متراجع اكيد ولكن الحل باحضار لاعبين محترفين جدد في خط الهجوم لانه بالحقيقة لايوجد هجوم في الفريق يعني [PERSON_1] نوعا ما كويس ولكنه يحتاج الى محترف لتقوية خط الهجوم وكذلك تقوية خط الدفاع ، ولكن احضار مدرب ممتاز مع نفس الفريق بدون لاعبين جدد لا اتوقع انه يصير اي تحسن على مستوى الفريق
train_000047,مبروك لمصر وفرحتكم هي فرحتنا,مبروك ل[LOC_1] وفرحتكم هي فرحتنا
train_000048,ولكن لاتيؤسون راجعونا السنه الجايه وانشا الله,ولكن لاتيؤسون راجعونا السنه الجايه وانشا الله
train_000049,يشفيهم . البارح عميد الكدابين يقول اول مره اشوف,يشفيهم . البارح عميد الكدابين يقول اول مره اشوف
train_000050,شركة الكهرباء هي الرابح الاكبر في هذه الجلسه الله يديم عزك يابو,شركة الكهرباء هي الرابح الاكبر في هذه الجلسه الله يديم عزك يابو
train_000051,"عرفت ليش فيه بطالة كثير , لأن وجيههم مهيب وجيه شغل و كرف و عمل شريف بس فالحين","عرفت ليش فيه بطالة كثير , لأن وجيههم مهيب وجيه شغل و كرف و عمل شريف بس فالحين"
train_000052,ياسبحان الله ولله في خلقه,ياسبحان الله ولله في خلقه
train_000053,كلكو عليه ولا اية . . . لالالالا وحيات مامي الاوكرانية لوريكو . . . ماشي,كلكو عليه ولا اية . . . لالالالا وحيات مامي الاوكرانية لوريكو . . . ماشي
train_000054,نفسي افهم فرات الخبر انتا واياه قبل ما تعلقوا ؟ ؟,نفسي افهم فرات الخبر انتا واياه قبل ما تعلقوا ؟ ؟
train_000055,وكأن فلاح كفر الهنادوة هو المسؤل عن تعيين وزراء فاشلين معدومين المسؤلية والاحساس والدم وبرعوا فقط فى تكديس الاموال وتزوير ارادة الشعب وتصدير عناوين مزورة مثلهم انهم فقط يعلمون ويعملون من اجل مصلحة هذا الشعب البائس,وكأن فلاح [LOC_1] هو المسؤل عن تعيين وزراء فاشلين معدومين المسؤلية والاحساس والدم وبرعوا فقط فى تكديس الاموال وتزوير ارادة الشعب وتصدير عناوين مزورة مثلهم انهم فقط يعلمون ويعملون من اجل مصلحة هذا الشعب البائس
train_000056,أنا أراهن ان اقصى حد لفرض الضريبة القادمة سيكون 2011 / 1 / 15 ، اما عن المسمى بصراحة مش عارف لانه ما ضل شيء بس الحكومة دائماً سباقة في المجال ومش رح تغلب ! !,أنا أراهن ان اقصى حد لفرض الضريبة القادمة سيكون [DATE_1] ، اما عن المسمى بصراحة مش عارف لانه ما ضل شيء بس الحكومة دائماً سباقة في المجال ومش رح تغلب ! !
train_000057,انتي فعلا شاطرة جدا جدا يا استازة منى وانا بحترمك جدا انا واسرتي كمان بنحترم البرنامج الروعة الي انتي بطلة قصتة والي متنوع بافكار شيقة للغاية اكيد من افكارك انتي وفريق العمل,انتي فعلا شاطرة جدا جدا يا استازة [PERSON_1] وانا بحترمك جدا انا واسرتي كمان بنحترم البرنامج الروعة الي انتي بطلة قصتة والي متنوع بافكار شيقة للغاية اكيد من افكارك انتي وفريق العمل
train_000058,آويها وعملهوها الشباب وأولهم رأفت علي . .,آويها وعملهوها الشباب وأولهم [PERSON_1] . .
train_000059,الذين لا يستطيعون العيش الا فى اجواء,الذين لا يستطيعون العيش الا فى اجواء
train_000060,بس ثلاث اسماء معروفه والباقي كومبرس وين نجومنا الاردنين والله ايشي بخجل . . مسلسل اردني كله فنانين من سوريا . . . سؤال لو هذا السلسل انعمل بسوريا بجيبوا من الاردن ممثلين يا عيب العيب يا زمن . .,بس [NUM_1] اسماء معروفه والباقي كومبرس وين نجومنا الاردنين والله ايشي بخجل . . مسلسل اردني كله فنانين من [LOC_1] . . . سؤال لو هذا السلسل انعمل ب[LOC_1] بجيبوا من [LOC_2] ممثلين يا عيب العيب يا زمن . .
train_000061,الاجانب اكتشفوا اكثر من هيك واحنا اذا اكتشفنا اشي بصير شو يعني اكتشفوا,الاجانب اكتشفوا اكثر من هيك واحنا اذا اكتشفنا اشي بصير شو يعني اكتشفوا
train_000062,عشنا عمرنا كله نطارد من الاهل بسبب لعب الكرة التى تلهيك عن الدراسة وتجعلك من الفاشلين ودائمى الرسوب وبالطبع هى لعبة لاتستقيم مع التفوق العلمى لان اجادتها تستلزم الممارسة من الصغر ولذا نرى ان الاغلبية من اللاعبين بدون شهادات جامعية وعلى الاكثر اعدادية او دبلوم بعد استنزاف مرات الرسوب واحيانا شهادات جامعية متواضعة جدا من معاهد انتساب او شهادات مشكوك فى صحتها لان المنطق يقول انه لاوقت لدى هذ ه الفئه للانتظام فى تحصيل العلم حيث ان عائد الكرة لا يقارن بالشهادة الجامعية البائسةوالتى يضيع فيها اهم سنوات العطاء لكرة القدم وهذا لايعيب لاعبى كرة القدم . . . ولكن العيب ان تعمل فى مجال الاعلام فالاعلام ليس لعبة تمارسها هذه الفئة لان الاعلام علم وثقافة وسرعة بديهه وله كليات واصول لاتتوفر لدى هذه الفئة التى تجهل اصول اللغة العربية مابالك باللغات الاخرى ومعنى المصلحة العليا للدولة وما هو مسموح وغير مسموح والشاهد على ذلك ما تم فى مباراة الجزائر وما يتم تصديره بشكل يومى من احتقان وتعصب من خلال هؤلاء المهاويس مما يهدد امن الوطن والمواطن وللاسف الجميع يساهم فى هذه الكارثة القادمة لامحال بداية من رجال الاعمال اصحاب هذه القنوات بقصد تحقيق الربح دون النظر لامن الوطن او المواطن مثل قنوات دريم مع ان صاحبها نتوسم فيه العقلانية وكذلك مودرن واحيانا قناة النيل والمصيبة ان كل المذيعون يعلنوا عن انتمائهم الكروى ويقيموا معارك على الهواء ويمنحوا وقت مفتوح لايتاح لاىمسئول لكى يقتحم البيوت ويخدش الحياء والتعصب مثل معارك شوبير ومرتضى والمصيبة ان انضم لهم الصحافة المكتوبة برموز كنا نحترمها وانزلقت لهذا المستنقع من اجل المال جميعهم دون ذكر الاسماء وهذه البرامج اظهت تفاهتهم وتعصبهم الاعمى من اجل المال ! ! ! واسفاه وعليه لابد من اعادة النظر فهذه القنوات وتقنين العمل الاعلامى للفئات التى تستحق العمل فى هذا المجال وشرط المؤهل واللغة واختبارات حقيقية لهذا العمل ويحظر على لاعبى الكرة ممارسة الاعلام وكفاهم ما حققوه من اللعبه وان تعطى المهنة لمستحقيها ( ان يعطى العيش لخبازه ) وعزائى للدكتور علاء ان هذا الزمن زمنم السفهاء والجهله ولصوص هذا الزمان . .,عشنا عمرنا كله نطارد من الاهل بسبب لعب الكرة التى تلهيك عن الدراسة وتجعلك من الفاشلين ودائمى الرسوب وبالطبع هى لعبة لاتستقيم مع التفوق العلمى لان اجادتها تستلزم الممارسة من الصغر ولذا نرى ان الاغلبية من اللاعبين بدون شهادات جامعية وعلى الاكثر اعدادية او دبلوم بعد استنزاف مرات الرسوب واحيانا شهادات جامعية متواضعة جدا من معاهد انتساب او شهادات مشكوك فى صحتها لان المنطق يقول انه لاوقت لدى هذ ه الفئه للانتظام فى تحصيل العلم حيث ان عائد الكرة لا يقارن بالشهادة الجامعية البائسةوالتى يضيع فيها اهم سنوات العطاء لكرة القدم وهذا لايعيب لاعبى كرة القدم . . . ولكن العيب ان تعمل فى مجال الاعلام فالاعلام ليس لعبة تمارسها هذه الفئة لان الاعلام علم وثقافة وسرعة بديهه وله كليات واصول لاتتوفر لدى هذه الفئة التى تجهل اصول اللغة العربية مابالك باللغات الاخرى ومعنى المصلحة العليا للدولة وما هو مسموح وغير مسموح والشاهد على ذلك ما تم فى مباراة [LOC_1] وما يتم تصديره بشكل يومى من احتقان وتعصب من خلال هؤلاء المهاويس مما يهدد امن الوطن والمواطن وللاسف الجميع يساهم فى هذه الكارثة القادمة لامحال بداية من رجال الاعمال اصحاب هذه القنوات بقصد تحقيق الربح دون النظر لامن الوطن او المواطن مثل قنوات [ORG_1] مع ان صاحبها نتوسم فيه العقلانية وكذلك [ORG_2] واحيانا قناة [ORG_3] والمصيبة ان كل المذيعون يعلنوا عن انتمائهم الكروى ويقيموا معارك على الهواء ويمنحوا وقت مفتوح لايتاح لاىمسئول لكى يقتحم البيوت ويخدش الحياء والتعصب مثل معارك [PERSON_1] و[PERSON_2] والمصيبة ان انضم لهم الصحافة المكتوبة برموز كنا نحترمها وانزلقت لهذا المستنقع من اجل المال جميعهم دون ذكر الاسماء وهذه البرامج اظهت تفاهتهم وتعصبهم الاعمى من اجل المال ! ! ! واسفاه وعليه لابد من اعادة النظر فهذه القنوات وتقنين العمل الاعلامى للفئات التى تستحق العمل فى هذا المجال وشرط المؤهل واللغة واختبارات حقيقية لهذا العمل ويحظر على لاعبى الكرة ممارسة الاعلام وكفاهم ما حققوه من اللعبه وان تعطى المهنة لمستحقيها ( ان يعطى العيش لخبازه ) وعزائى للدكتور [PERSON_3] ان هذا الزمن زمنم السفهاء والجهله ولصوص هذا الزمان . .
train_000063,بسؤلِِ للسماء هل تعود بلادى,بسؤلِِ للسماء هل تعود بلادى
train_000064,والله الفلم ما يستاهل كل هذي,والله الفلم ما يستاهل كل هذي
train_000065,3 - تتحدثون كثيرا عن الطلبة الذين يأتون للدراسة عندكم ، أنا هنا أريد أن أوضح أمر هام ألا و هو أن جميع الشعب العلمية في الجامعات الجزائرية الحكومية تدرس باللغة الفرنسية و ربما هذا ما لا يعلمه كثير من المصريين فالطب و الصيدلة و البيولوجيا و الجيولوجيا و الاختصاصات التقنية و غيرها تدرس بالفرنسية ، و تبقى الشعب الأدبية التي تدرس بالعربية و كذلك الاقتصاد الذي يدرس في بعض الجامعات بالفرنسية و في أخرى بالعربية و هذا بعد نضال كبير من أنصار تعريب التعليم ، و منه فالوافدين إلى مصر هم إما أصحاب الاختصاصات الأدبية و القانون بعد تعريبه و بعض دارسي الاقتصاد باللغة العربية و ذلك ربما رغبة منهم في مسايرة التطور الذي يشهده الدارسين بالفرنسية على الرغم من أن المستوى شاسع بينهما و لا يقارن و لكن حبهم للعربية و لكل ما هو عربي و رغم اتقانهم للفرنسية هو ما جعلهم يدرسون بالعربية,[NUM_1] - تتحدثون كثيرا عن الطلبة الذين يأتون للدراسة عندكم ، أنا هنا أريد أن أوضح أمر هام ألا و هو أن جميع الشعب العلمية في الجامعات الجزائرية الحكومية تدرس باللغة الفرنسية و ربما هذا ما لا يعلمه كثير من المصريين فالطب و الصيدلة و البيولوجيا و الجيولوجيا و الاختصاصات التقنية و غيرها تدرس بالفرنسية ، و تبقى الشعب الأدبية التي تدرس بالعربية و كذلك الاقتصاد الذي يدرس في بعض الجامعات بالفرنسية و في أخرى بالعربية و هذا بعد نضال كبير من أنصار تعريب التعليم ، و منه فالوافدين إلى [LOC_1] هم إما أصحاب الاختصاصات الأدبية و القانون بعد تعريبه و بعض دارسي الاقتصاد باللغة العربية و ذلك ربما رغبة منهم في مسايرة التطور الذي يشهده الدارسين بالفرنسية على الرغم من أن المستوى شاسع بينهما و لا يقارن و لكن حبهم للعربية و لكل ما هو عربي و رغم اتقانهم للفرنسية هو ما جعلهم يدرسون بالعربية
train_000066,ارشح الاستاذ السيد الديداموني لرئاسة الوزراء ويتبعه وزارة المالية وهو اللي حيعين عشرة وزراء اقباط ليس عنده فرق بين مسلم ومسيحي الكل عندسيادته مصريين بيحب الكل ان لم يكن رئيس وزراء فهو احق / / بوزارة المالية / / ويارب يتحقق الكلام ده تحيه له من افباط,ارشح الاستاذ [PERSON_1] لرئاسة الوزراء ويتبعه [ORG_1] وهو اللي حيعين [NUM_1] وزراء اقباط ليس عنده فرق بين مسلم ومسيحي الكل عندسيادته مصريين بيحب الكل ان لم يكن رئيس وزراء فهو احق / / ب[ORG_1] / / ويارب يتحقق الكلام ده تحيه له من افباط
train_000067,يا حبكم تصنعون من الحبة قبة الحين كورة وما,يا حبكم تصنعون من الحبة قبة الحين كورة وما
train_000068,ومن حقنا نفرح بين اهلنا وناسنا ومن حقنا نرفع بين الخلايق راسنا ومن حقنا نقول عشنا فى عصر كمال دا اللى ماعاشى فى عصره عمره ماكان له لازمة بنحبك ياابو معتز يارب يشفيك يارب,ومن حقنا نفرح بين اهلنا وناسنا ومن حقنا نرفع بين الخلايق راسنا ومن حقنا نقول عشنا فى عصر [PERSON_1] دا اللى ماعاشى فى عصره عمره ماكان له لازمة بنحبك يا[PERSON_2] يارب يشفيك يارب
train_000069,يا عالم يا بشر هذا بني ادم في 2010 مقيد بسلاسل حديد وين المصحات النفسيه قسمابالله انسم بدني من الخبر,يا عالم يا بشر هذا بني ادم في [DATE_1] مقيد بسلاسل حديد وين المصحات النفسيه قسمابالله انسم بدني من الخبر
train_000070,شكرا للمقال الذي يبحث في,شكرا للمقال الذي يبحث في
train_000071,عاش وانتصر الشعب العربى . - - - وهذا الكوبلية تغنية فايدة كامل,عاش وانتصر الشعب العربى . - - - وهذا الكوبلية تغنية [PERSON_1]
train_000072,هذا الخبر مو صحيح الليله متعشي في مطعم مجرشي في القاهره في ميدان لبنان مندي,هذا الخبر مو صحيح الليله متعشي في مطعم [ORG_1] في [LOC_1] في ميدان [LOC_2] مندي
train_000073,وهذا ما لم يدركه بعض ( الغوغاء ) الذين تسابقوا الى منابر الفضائيات ، قبل ان ينجح مدير اعمال اللاعب نادر شوقي في الضحك عليهم وتشجيعهم على مهاجمة لجنة وطنهم بكل اسف ، والله إنك صادق ( نادي تصاريح وبيانات وتضليل,وهذا ما لم يدركه بعض ( الغوغاء ) الذين تسابقوا الى منابر الفضائيات ، قبل ان ينجح مدير اعمال اللاعب [PERSON_1] في الضحك عليهم وتشجيعهم على مهاجمة لجنة وطنهم بكل اسف ، والله إنك صادق ( نادي تصاريح وبيانات وتضليل
train_000074,يا عمي مالنا و مال الحكي الكاس محسوم للامبراطور,يا عمي مالنا و مال الحكي الكاس محسوم للامبراطور
train_000075,ببساطه شديدة جدآ دا ملعوب مدروس ومتخطط كويس . لألهاء الناس عن الهدف,ببساطه شديدة جدآ دا ملعوب مدروس ومتخطط كويس . لألهاء الناس عن الهدف
train_000076,والله ما مثلش في هالدنيا,والله ما مثلش في هالدنيا
train_000077,اي والله جبتها بالصميم وانا احد ضحايا الاخطاء,اي والله جبتها بالصميم وانا احد ضحايا الاخطاء
train_000078,والله يا ست امل سيدنا الله يمد بعمره ما ترك مجال للحكي بهاده الموضوع لانه كل المصابين بهاد المرض بتوجهوا الى الديوان الملكي العامر وبلاقو مطلبهم بنصحك انك تروحي على,والله يا ست [PERSON_1] سيدنا الله يمد بعمره ما ترك مجال للحكي بهاده الموضوع لانه كل المصابين بهاد المرض بتوجهوا الى [ORG_1] وبلاقو مطلبهم بنصحك انك تروحي على
train_000079,"ياجماعه الخير خلونا واقعيين شوي ,","ياجماعه الخير خلونا واقعيين شوي ,"
train_000080,هو ده الكلام الناس دى عايزة,هو ده الكلام الناس دى عايزة
train_000081,ما اقول الا حسبي الله ونعم الوكيل على ها الجنه ومن تبعهم من الدخلاء على الرياضه,ما اقول الا حسبي الله ونعم الوكيل على ها الجنه ومن تبعهم من الدخلاء على الرياضه
train_000082,صح لساك أخي الشاعر بن سبيّل فقد أوجدت,صح لساك أخي الشاعر [PERSON_1] فقد أوجدت
train_000083,مش صحيح هالحكي يعني انا مثلا 27 سنة و بعمل المسخن و الكرش و الروس و المفتول علي اصوله و زوجي ما في حدا قدو . .,مش صحيح هالحكي يعني انا مثلا [NUM_1] سنة و بعمل المسخن و الكرش و الروس و المفتول علي اصوله و زوجي ما في حدا قدو . .
