id,example_id,dialect,split
train_000531,mt_dial_egy_3d708ff5,DIAL_EGY,train
train_000532,mt_dial_lev_c0a483dd,DIAL_LEV,train
train_000533,mt_msa_e32eeb50,MSA,train
train_000536,mt_dial_glf_f14011d8,DIAL_GLF,train
train_000541,mt_msa_0fd8e53d,MSA,train
train_000542,mt_dial_glf_101a8860,DIAL_GLF,train
train_000545,mt_dial_egy_45ce4801,DIAL_EGY,train
train_000546,mt_dial_egy_fa49a12e,DIAL_EGY,train
train_000555,mt_dial_lev_cd2b1feb,DIAL_LEV,train
train_000557,mt_msa_98603b56,MSA,train
train_000560,mt_msa_a58fd982,MSA,train
train_000563,mt_dial_lev_8cd104a4,DIAL_LEV,train
train_000566,mt_dial_egy_91b57d6c,DIAL_EGY,train
train_000568,mt_msa_10814acc,MSA,train
train_000570,mt_dial_lev_b74533ba,DIAL_LEV,train
train_000574,mt_dial_lev_813da81f,DIAL_LEV,train
train_000577,mt_msa_4f2e9863,MSA,train
train_000578,mt_dial_egy_7e082917,DIAL_EGY,train
train_000579,mt_dial_glf_2c393e12,DIAL_GLF,train
train_000580,mt_msa_52705bae,MSA,train
train_000582,mt_msa_c6653776,MSA,train
train_000585,mt_dial_glf_7e92166a,DIAL_GLF,train
train_000587,mt_dial_egy_e4c9e989,DIAL_EGY,train
train_000588,mt_dial_egy_e8ae5784,DIAL_EGY,train
train_000591,mt_dial_egy_08f0deac,DIAL_EGY,train
train_000594,mt_dial_egy_2a67e398,DIAL_EGY,train
train_000595,mt_dial_egy_b2b55c77,DIAL_EGY,train
train_000599,mt_msa_0999485c,MSA,train
train_000600,mt_dial_egy_5825f172,DIAL_EGY,train
train_000604,mt_msa_75e4ece7,MSA,train
train_000605,mt_dial_egy_7d315805,DIAL_EGY,train
train_000608,mt_msa_f6b9f0e8,MSA,train
train_000609,mt_dial_lev_daf41f2e,DIAL_LEV,train
train_000611,mt_dial_egy_e9235563,DIAL_EGY,train
train_000614,mt_msa_3291c837,MSA,train
train_000615,mt_dial_glf_b9d705ec,DIAL_GLF,train
train_000617,mt_dial_egy_e617a4c9,DIAL_EGY,train
train_000618,mt_dial_lev_fd66bc26,DIAL_LEV,train
train_000623,mt_dial_lev_c62a5991,DIAL_LEV,train
train_000624,mt_dial_glf_4e0cee88,DIAL_GLF,train
train_000627,mt_dial_glf_425571a9,DIAL_GLF,train
train_000628,mt_msa_8d5bf6dc,MSA,train
train_000629,mt_dial_glf_f67ac107,DIAL_GLF,train
train_000630,mt_msa_c25744b9,MSA,train
train_000634,mt_dial_egy_0c60f617,DIAL_EGY,train
train_000637,mt_msa_8c623ddc,MSA,train
train_000638,mt_dial_egy_1af9a399,DIAL_EGY,train
train_000645,mt_dial_egy_6d14388b,DIAL_EGY,train
train_000649,mt_dial_glf_db6aedde,DIAL_GLF,train
train_000650,mt_msa_7180fc8c,MSA,train
train_000652,mt_dial_glf_f02edde0,DIAL_GLF,train
train_000653,mt_dial_lev_5bc09fd2,DIAL_LEV,train
train_000657,mt_dial_glf_a0eb8071,DIAL_GLF,train
train_000661,mt_dial_glf_4231002b,DIAL_GLF,train
train_000663,mt_dial_lev_1127ccbc,DIAL_LEV,train
train_000664,mt_dial_lev_b98fdda7,DIAL_LEV,train
train_000673,mt_dial_glf_aa126237,DIAL_GLF,train
train_000676,mt_dial_egy_7ed4f104,DIAL_EGY,train
train_000678,mt_dial_egy_dd8fab3b,DIAL_EGY,train
train_000679,mt_dial_lev_0cda2422,DIAL_LEV,train
train_000681,mt_msa_79a0eaa4,MSA,train
train_000685,mt_dial_egy_4cfb38c1,DIAL_EGY,train
train_000689,mt_dial_egy_d5f3302a,DIAL_EGY,train
train_000692,mt_dial_egy_7d942b87,DIAL_EGY,train
train_000699,mt_dial_glf_9ac16ed5,DIAL_GLF,train
train_000701,mt_dial_glf_dd0c36e4,DIAL_GLF,train
train_000704,mt_dial_glf_55d10ac5,DIAL_GLF,train
train_000706,mt_dial_egy_6eeb7556,DIAL_EGY,train
train_000708,mt_dial_egy_7d22bdff,DIAL_EGY,train
train_000709,mt_dial_egy_d896e30d,DIAL_EGY,train
train_000711,mt_dial_egy_8d775556,DIAL_EGY,train
train_000712,mt_dial_lev_4b438033,DIAL_LEV,train
train_000713,mt_dial_glf_ac19056a,DIAL_GLF,train
train_000717,mt_dial_egy_ba03bf7e,DIAL_EGY,train
train_000720,mt_dial_egy_e030bb0d,DIAL_EGY,train
train_000721,mt_dial_glf_6083e4d5,DIAL_GLF,train
train_000725,mt_dial_glf_eaa6b1ea,DIAL_GLF,train
train_000727,mt_msa_3be22190,MSA,train
train_000730,mt_dial_egy_06d07dd5,DIAL_EGY,train
train_000732,mt_dial_lev_e5658648,DIAL_LEV,train
train_000734,mt_msa_698e99bb,MSA,train
train_000736,mt_dial_lev_52f9fc44,DIAL_LEV,train
train_000738,mt_dial_glf_6a439da4,DIAL_GLF,train
train_000740,mt_dial_lev_580f75f1,DIAL_LEV,train
train_000741,mt_dial_glf_8316d191,DIAL_GLF,train
train_000743,mt_dial_glf_117c394e,DIAL_GLF,train
train_000744,mt_msa_c720d16a,MSA,train
train_000745,mt_dial_glf_01b27328,DIAL_GLF,train
train_000748,mt_msa_d8ed3e08,MSA,train
train_000756,mt_dial_lev_a0cc7903,DIAL_LEV,train
train_000758,mt_dial_lev_134a1163,DIAL_LEV,train
train_000760,mt_msa_faa1c005,MSA,train
train_000763,mt_dial_egy_5c449a91,DIAL_EGY,train
train_000767,mt_dial_egy_612b0515,DIAL_EGY,train
train_000779,mt_msa_f8bbb17c,MSA,train
train_000780,mt_dial_egy_e3a7e590,DIAL_EGY,train
train_000785,mt_dial_egy_2ced216c,DIAL_EGY,train
train_000787,mt_dial_egy_ef142fb4,DIAL_EGY,train
train_000788,mt_dial_lev_d9166eea,DIAL_LEV,train
train_000793,mt_dial_glf_027ae99a,DIAL_GLF,train
train_000794,mt_dial_egy_19796a76,DIAL_EGY,train
train_000803,mt_msa_2dbd13a4,MSA,train
train_000805,mt_dial_egy_d3f5b0ad,DIAL_EGY,train
train_000807,mt_msa_5fd9127e,MSA,train
train_000811,mt_dial_lev_9cc390b8,DIAL_LEV,train
train_000817,mt_dial_glf_65823f51,DIAL_GLF,train
train_000821,mt_dial_lev_d2991a11,DIAL_LEV,train
train_000822,mt_msa_6b222eda,MSA,train
train_000825,mt_msa_68a963a3,MSA,train
train_000828,mt_dial_glf_96ee3ca2,DIAL_GLF,train
train_000832,mt_dial_egy_edca5af5,DIAL_EGY,train
train_000833,mt_dial_egy_4c5bea42,DIAL_EGY,train
train_000835,mt_dial_lev_4720b19f,DIAL_LEV,train
train_000841,mt_dial_egy_2adfc1b8,DIAL_EGY,train
train_000843,mt_msa_48436dcc,MSA,train
train_000844,mt_dial_lev_a24b8d0a,DIAL_LEV,train
train_000846,mt_dial_egy_45826e3f,DIAL_EGY,train
train_000852,mt_dial_egy_ed561029,DIAL_EGY,train
train_000854,mt_dial_lev_c144152f,DIAL_LEV,train
train_000855,mt_dial_egy_fa05282b,DIAL_EGY,train
train_000863,mt_dial_egy_d904c4b9,DIAL_EGY,train
train_000865,mt_dial_glf_1d004a49,DIAL_GLF,train
train_000867,mt_dial_egy_f9347b0c,DIAL_EGY,train
train_000871,mt_dial_glf_bf8baab2,DIAL_GLF,train
train_000872,mt_dial_lev_10cc8c2f,DIAL_LEV,train
train_000874,mt_dial_egy_a65692a5,DIAL_EGY,train
train_000876,mt_dial_lev_48315483,DIAL_LEV,train
train_000878,mt_dial_lev_73248813,DIAL_LEV,train
train_000879,mt_dial_egy_c59ec0ed,DIAL_EGY,train
train_000884,mt_msa_f1d88431,MSA,train
train_000886,mt_dial_egy_8d6bbef9,DIAL_EGY,train
train_000888,mt_dial_egy_e977c693,DIAL_EGY,train
train_000891,mt_dial_egy_ad4b083a,DIAL_EGY,train
train_000892,mt_dial_glf_fd4f5978,DIAL_GLF,train
train_000893,mt_msa_734fda64,MSA,train
train_000902,mt_msa_6b2a6720,MSA,train
train_000907,mt_dial_egy_dceb5ae4,DIAL_EGY,train
train_000910,mt_dial_egy_15517a43,DIAL_EGY,train
train_000913,mt_msa_5e45a888,MSA,train
train_000917,mt_dial_lev_9127be07,DIAL_LEV,train
train_000924,mt_dial_lev_25029cb1,DIAL_LEV,train
train_000926,mt_dial_glf_c99cfaf1,DIAL_GLF,train
train_000927,mt_msa_51a0f07b,MSA,train
train_000928,mt_dial_glf_1e64e375,DIAL_GLF,train
train_000929,mt_msa_d5ac6082,MSA,train
train_000930,mt_dial_glf_f2b99365,DIAL_GLF,train
train_000932,mt_dial_glf_25bb7112,DIAL_GLF,train
train_000934,mt_dial_glf_48eb0762,DIAL_GLF,train
train_000936,mt_dial_egy_98341fec,DIAL_EGY,train
train_000939,mt_msa_39271d79,MSA,train
train_000942,mt_msa_39c16893,MSA,train
train_000947,mt_msa_48459809,MSA,train
train_000952,mt_dial_glf_d116302b,DIAL_GLF,train
train_000953,mt_dial_egy_6570db4a,DIAL_EGY,train
train_000954,mt_dial_egy_1d18fc18,DIAL_EGY,train
train_000955,mt_dial_egy_fb862e5b,DIAL_EGY,train
train_000960,mt_dial_lev_5a35e8be,DIAL_LEV,train
train_000963,mt_dial_egy_da659d38,DIAL_EGY,train
train_000964,mt_dial_glf_de2f464e,DIAL_GLF,train
train_000966,mt_dial_glf_94323f6b,DIAL_GLF,train
train_000967,mt_dial_egy_8f45c3f0,DIAL_EGY,train
train_000969,mt_dial_glf_2273aaec,DIAL_GLF,train
train_000971,mt_dial_glf_5a49a42e,DIAL_GLF,train
train_000976,mt_dial_lev_4c91a73b,DIAL_LEV,train
train_000977,mt_dial_lev_9d4ae560,DIAL_LEV,train
train_000978,mt_dial_glf_e9cd9010,DIAL_GLF,train
train_000979,mt_dial_egy_349e5df9,DIAL_EGY,train
train_000982,mt_dial_lev_d6ed8842,DIAL_LEV,train
train_000983,mt_dial_lev_ec5db4f9,DIAL_LEV,train
train_000984,mt_dial_egy_d314ceff,DIAL_EGY,train
train_000988,mt_dial_egy_b37e23df,DIAL_EGY,train
train_000992,mt_dial_egy_b441a96b,DIAL_EGY,train
train_000995,mt_msa_19f47c5c,MSA,train
train_000999,mt_dial_egy_4a073909,DIAL_EGY,train
train_001002,mt_dial_egy_534757ad,DIAL_EGY,train
train_001003,mt_msa_720eb148,MSA,train
train_001004,mt_dial_glf_24c444eb,DIAL_GLF,train
train_001006,mt_dial_egy_ff125f1f,DIAL_EGY,train
train_001008,mt_dial_lev_27491d4e,DIAL_LEV,train
train_001012,mt_msa_93b322f8,MSA,train
train_001013,mt_dial_lev_d6136fbe,DIAL_LEV,train
train_001015,mt_msa_e624ade9,MSA,train
train_001021,mt_dial_glf_84047775,DIAL_GLF,train
train_001022,mt_dial_lev_7ca939a2,DIAL_LEV,train
train_001025,mt_msa_2685e9f6,MSA,train
train_001027,mt_dial_lev_43957bf9,DIAL_LEV,train
train_001028,mt_dial_lev_2a5a4523,DIAL_LEV,train
train_001032,mt_msa_fdcb4713,MSA,train
train_001034,mt_dial_lev_65710aca,DIAL_LEV,train
train_001037,mt_dial_lev_deb838ea,DIAL_LEV,train
train_001039,mt_dial_lev_5aec923e,DIAL_LEV,train
train_001041,mt_msa_b58be23f,MSA,train
train_001043,mt_msa_6462af7f,MSA,train
train_001046,mt_dial_lev_d4b285f5,DIAL_LEV,train
train_001052,mt_msa_d34676c0,MSA,train
train_001053,mt_dial_egy_6c88c8da,DIAL_EGY,train
train_001055,mt_dial_glf_cc262974,DIAL_GLF,train
train_001058,mt_msa_8fd69198,MSA,train
train_001059,mt_dial_egy_07c78897,DIAL_EGY,train
train_001064,mt_msa_16f31239,MSA,train
train_001067,mt_dial_lev_000475f7,DIAL_LEV,train
train_001071,mt_dial_lev_2b169972,DIAL_LEV,train
train_001074,mt_dial_glf_30cab31e,DIAL_GLF,train
train_001075,mt_dial_lev_720ed363,DIAL_LEV,train
train_001077,mt_dial_glf_6b81a344,DIAL_GLF,train
train_001079,mt_dial_egy_33881fda,DIAL_EGY,train
train_001081,mt_dial_lev_24898dc3,DIAL_LEV,train
train_001082,mt_dial_lev_b7f6ce8b,DIAL_LEV,train
train_001083,mt_msa_9d9c7c93,MSA,train
train_001084,mt_msa_87979080,MSA,train
train_001090,mt_msa_05119c68,MSA,train
train_001092,mt_dial_egy_afa42144,DIAL_EGY,train
train_001098,mt_msa_291d8b71,MSA,train
train_001099,mt_dial_egy_03c45809,DIAL_EGY,train
train_001101,mt_dial_lev_aca716b6,DIAL_LEV,train
train_001103,mt_dial_egy_82641d20,DIAL_EGY,train
train_001104,mt_dial_egy_b3dcb129,DIAL_EGY,train
train_001107,mt_msa_e6343372,MSA,train
train_001108,mt_dial_egy_e31b3cc2,DIAL_EGY,train
train_001116,mt_dial_egy_39e3a82a,DIAL_EGY,train
train_001118,mt_msa_1b86ef60,MSA,train
train_001119,mt_dial_lev_8cc72265,DIAL_LEV,train
train_001121,mt_dial_egy_cb74d51e,DIAL_EGY,train
train_001130,mt_dial_glf_a6586946,DIAL_GLF,train
train_001132,mt_dial_egy_79ed97b0,DIAL_EGY,train
train_001135,mt_dial_egy_34ff9a0c,DIAL_EGY,train
train_001136,mt_dial_glf_36eca6ac,DIAL_GLF,train
train_001150,mt_dial_lev_c106bbe6,DIAL_LEV,train
train_001153,mt_dial_egy_341f05d3,DIAL_EGY,train
train_001154,mt_dial_glf_0a63058f,DIAL_GLF,train
train_001155,mt_dial_egy_61335d8e,DIAL_EGY,train
train_001156,mt_dial_glf_aea4555b,DIAL_GLF,train
train_001162,mt_dial_glf_882c0e40,DIAL_GLF,train
train_001163,mt_dial_egy_883e7a9e,DIAL_EGY,train
train_001164,mt_dial_egy_01fa015b,DIAL_EGY,train
train_001169,mt_msa_ac518fea,MSA,train
train_001170,mt_dial_lev_8e6fe0a6,DIAL_LEV,train
train_001173,mt_msa_9cb7cb50,MSA,train
train_001174,mt_dial_egy_bb9235ef,DIAL_EGY,train
train_001176,mt_msa_59cdfb02,MSA,train
train_001177,mt_msa_cd3e85d5,MSA,train
train_001179,mt_dial_glf_12524d88,DIAL_GLF,train
train_001181,mt_dial_lev_24263522,DIAL_LEV,train
train_001188,mt_msa_9b878c8e,MSA,train
train_001194,mt_dial_egy_5ce2eabc,DIAL_EGY,train
train_001196,mt_dial_lev_4948a04c,DIAL_LEV,train
train_001197,mt_dial_glf_a3fbd5ba,DIAL_GLF,train
train_001200,mt_dial_glf_7111094c,DIAL_GLF,train
train_001202,mt_dial_egy_c2957267,DIAL_EGY,train
train_001205,mt_dial_lev_d1d702e4,DIAL_LEV,train
train_001206,mt_dial_lev_64e48ddd,DIAL_LEV,train
train_001209,mt_msa_692e92d9,MSA,train
train_001213,mt_msa_e1e4d1da,MSA,train
train_001217,mt_dial_egy_0545513a,DIAL_EGY,train
train_001219,mt_dial_egy_727cdb37,DIAL_EGY,train
train_001221,mt_dial_lev_2c347f2b,DIAL_LEV,train
train_001222,mt_msa_ddbb3788,MSA,train
train_001224,mt_dial_lev_99b85f0d,DIAL_LEV,train
train_001225,mt_dial_egy_a14a97ea,DIAL_EGY,train
train_001226,mt_dial_glf_26dfe60e,DIAL_GLF,train
train_001227,mt_msa_a44b24e8,MSA,train
train_001231,mt_dial_egy_29b606c3,DIAL_EGY,train
train_001232,mt_dial_glf_19513879,DIAL_GLF,train
train_001233,mt_dial_glf_2c896cab,DIAL_GLF,train
train_001234,mt_dial_glf_4447a909,DIAL_GLF,train
train_001235,mt_dial_egy_861909c8,DIAL_EGY,train
train_001237,mt_dial_egy_56c8383b,DIAL_EGY,train
train_001241,mt_dial_egy_d89c0384,DIAL_EGY,train
train_001243,mt_msa_33b97885,MSA,train
train_001244,mt_dial_lev_a0b7cb89,DIAL_LEV,train
train_001251,mt_dial_glf_138549e5,DIAL_GLF,train
