id,Usage,original_text,masked_text,mask_spans_json
test_000023,Public,من كتر كلامكم على نيفين شكري إشتقت أعرف مين هي أرجوكم فسروا علشان نفهم,من كتر كلامكم على [PERSON_1] إشتقت أعرف مين هي أرجوكم فسروا علشان نفهم,"[{""start"": 18, ""end"": 28, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""نيفين شكري"", ""mask_type"": ""PERSON""}]"
test_000024,Public,زمان كان فيه انضباط - لما يبقى فيه قانون يبقى فيه انضباط و احترام و التزام - يعنى تحت شعار الرحية صار هناك انفلات - و صار عدم احترام القانون حرية - عدم احترام الاخرين حرية - قلة الادب و التطاول حرية - ممارسة البلطجة حرية - زمان كان يوجد دروس خصوصية - لكن كان فيه شىء اسمه مدارس يعنى زى مدرسى يعنى تحية العلم يعنى النشيد الوطنى يعنى احترام رئيس الجمهورية يعنى التغنى بالانتصارات و الوطن و القومية العربية - المدرسة كانت عتنى انك لو انك مشاغب خارجها لابد ان تنضبط ساعات وجودك فيها - كان المدرس او المدرسة لا يحتاج الا الى ان يشخط فى الطالب او ينظر له بغضب - و يحق له طرده من الفصل و استدعاء ولى امره - و يحق له ضرب الطلبة الصغار ضربا بالعصا على يديه فقط - و ليس الركل و اللكم و القتل المتبادل بين الطالب و المدرس ! ان الفرق بين الحرية و الانفلات فى المدارس هو يعكس الشارع المصرى - زمان كانت الناس تخاف تكسر الاشارة و تخاف تعمل مظاهرات و تخاف تشتم على السادات - الكل كان بارادته او غير ارادته يخضع للقانون - الحرية حاليا صاحبها تخبط بين اشياء كثيرة فمن يريد ان يشتم يقول حرية و من يريد التفجير و الارهاب يقول حرية و من يريد قلب الحكم يقول حرية و من يفسر الحرية على انها حرية قطع الطرق و التظاهر بلا سبب و الشتم على الرئيس و الاخلال العمد بالقاوانين و الاستهانه بالدستور ! كيف نطلب من الطالب احترام المدرسة و المدرس بينما ابوه يشتم فى الحكومة و رئيسها بلك بلطجة و قلة ادب ؟ ! !,زمان كان فيه انضباط - لما يبقى فيه قانون يبقى فيه انضباط و احترام و التزام - يعنى تحت شعار الرحية صار هناك انفلات - و صار عدم احترام القانون حرية - عدم احترام الاخرين حرية - قلة الادب و التطاول حرية - ممارسة البلطجة حرية - زمان كان يوجد دروس خصوصية - لكن كان فيه شىء اسمه مدارس يعنى زى مدرسى يعنى تحية العلم يعنى النشيد الوطنى يعنى احترام رئيس الجمهورية يعنى التغنى بالانتصارات و الوطن و القومية العربية - المدرسة كانت عتنى انك لو انك مشاغب خارجها لابد ان تنضبط ساعات وجودك فيها - كان المدرس او المدرسة لا يحتاج الا الى ان يشخط فى الطالب او ينظر له بغضب - و يحق له طرده من الفصل و استدعاء ولى امره - و يحق له ضرب الطلبة الصغار ضربا بالعصا على يديه فقط - و ليس الركل و اللكم و القتل المتبادل بين الطالب و المدرس ! ان الفرق بين الحرية و الانفلات فى المدارس هو يعكس الشارع المصرى - زمان كانت الناس تخاف تكسر الاشارة و تخاف تعمل مظاهرات و تخاف تشتم على [PERSON_1] - الكل كان بارادته او غير ارادته يخضع للقانون - الحرية حاليا صاحبها تخبط بين اشياء كثيرة فمن يريد ان يشتم يقول حرية و من يريد التفجير و الارهاب يقول حرية و من يريد قلب الحكم يقول حرية و من يفسر الحرية على انها حرية قطع الطرق و التظاهر بلا سبب و الشتم على الرئيس و الاخلال العمد بالقاوانين و الاستهانه بالدستور ! كيف نطلب من الطالب احترام المدرسة و المدرس بينما ابوه يشتم فى الحكومة و رئيسها بلك بلطجة و قلة ادب ؟ ! !,"[{""start"": 849, ""end"": 856, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""السادات"", ""mask_type"": ""PERSON""}]"
test_000025,Public,رسالة لكل مسئول سابق تسبب فى تدمير الآلاف من العمال بسبب الموت المبكر ( ألمعاش المبكر ) بالضحك مرة وبالاكراة كثيرا والنتيجة اهدار كرامة رب الاسرة لانة بعد الخمسين اين يعمل وهل يجد الاصغر سنا عملا حتى استطيع الحصول على عمل كل الخراب دة حصل والمصيبة الاكبر قيمة المعاش والت واللة العظيم لاتكفى الا عشرة ايام ولا ادرى اين الضمير والضمائر هل ماتت حتى تعبثة باقدار الناس ام ان رغد العيش الذى يعيش فية المسئولين قد انساه عذابنا وما نعانية من غلاء وهم يصبح المرء بة ويمسى ام انكم تقولون فى انفسكم انطعم من لو يشاء اللة اطعمة اين عدالة التوزيع حتى لاتكون دولة للاغنياء واللة ما اصعب يوم الحساب على كل من وكل بارزاق الناس فلم يعدل بينهم واللة حرام عليكم ايها المسئولون السابقين والحاليين هذا التدنى فى المعاشات خاصة من اكرهتموم على الموت المبكر وحسبنا الخالق من المخلوق وحسبنا الرازق من,رسالة لكل مسئول سابق تسبب فى تدمير الآلاف من العمال بسبب الموت المبكر ( ألمعاش المبكر ) بالضحك مرة وبالاكراة كثيرا والنتيجة اهدار كرامة رب الاسرة لانة بعد [NUM_1] اين يعمل وهل يجد الاصغر سنا عملا حتى استطيع الحصول على عمل كل الخراب دة حصل والمصيبة الاكبر قيمة المعاش والت واللة العظيم لاتكفى الا [NUM_2] ايام ولا ادرى اين الضمير والضمائر هل ماتت حتى تعبثة باقدار الناس ام ان رغد العيش الذى يعيش فية المسئولين قد انساه عذابنا وما نعانية من غلاء وهم يصبح المرء بة ويمسى ام انكم تقولون فى انفسكم انطعم من لو يشاء اللة اطعمة اين عدالة التوزيع حتى لاتكون دولة للاغنياء واللة ما اصعب يوم الحساب على كل من وكل بارزاق الناس فلم يعدل بينهم واللة حرام عليكم ايها المسئولون السابقين والحاليين هذا التدنى فى المعاشات خاصة من اكرهتموم على الموت المبكر وحسبنا الخالق من المخلوق وحسبنا الرازق من,"[{""start"": 155, ""end"": 162, ""placeholder"": ""[NUM_1]"", ""surface_form"": ""الخمسين"", ""mask_type"": ""NUM""}, {""start"": 296, ""end"": 300, ""placeholder"": ""[NUM_2]"", ""surface_form"": ""عشرة"", ""mask_type"": ""NUM""}]"
test_000027,Public,نصيب المارد الاخضر دائما في البطولات العربييه اين يقع في مجموعات قويه وناريه وهذا حقه ولكن ليس من حق المارد الاخضر ان يلعب باعصابنا دائما ويحرقها من الصفحه الاولى الى,نصيب المارد الاخضر دائما في البطولات [ORG_1] اين يقع في مجموعات قويه وناريه وهذا حقه ولكن ليس من حق المارد الاخضر ان يلعب باعصابنا دائما ويحرقها من الصفحه الاولى الى,"[{""start"": 37, ""end"": 45, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""العربييه"", ""mask_type"": ""ORG""}]"
test_000029,Public,العالم الاسلامي ينظر للمملكة العربية السعودية بلاد الحرمين ومنبع الرسالة الاسلامية على انها تسير على هدي ومنهج الرسول محمد صلى الله عليه,العالم الاسلامي ينظر ل[LOC_1] بلاد الحرمين ومنبع الرسالة الاسلامية على انها تسير على هدي ومنهج الرسول [PERSON_1] صلى الله عليه,"[{""start"": 22, ""end"": 45, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""لمملكة العربية السعودية"", ""mask_type"": ""LOC""}, {""start"": 118, ""end"": 122, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""محمد"", ""mask_type"": ""PERSON""}]"
test_000031,Public,حيث تمكنوا من اختراق المنطقة العربية جمعاء عبر مصر أما من قبل كانت البلاد العربية تخشى مصر ما اذا بادر أى حاكم عربي في أى تعامل مع الصهاينة أما الأن فكل شيئ مباح لاهدار كرامة العرب,حيث تمكنوا من اختراق المنطقة العربية جمعاء عبر [LOC_1] أما من قبل كانت البلاد العربية تخشى [LOC_1] ما اذا بادر أى حاكم عربي في أى تعامل مع الصهاينة أما الأن فكل شيئ مباح لاهدار كرامة العرب,"[{""start"": 47, ""end"": 50, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""مصر"", ""mask_type"": ""LOC""}, {""start"": 87, ""end"": 90, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""مصر"", ""mask_type"": ""LOC""}]"
test_000032,Public,والحمد الله علا سلامة النمر سلطان,والحمد الله علا سلامة النمر [PERSON_1],"[{""start"": 28, ""end"": 33, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""سلطان"", ""mask_type"": ""PERSON""}]"
test_000035,Public,غزة بحاجة لابطال مو بحاجة لأغاني,[LOC_1] بحاجة لابطال مو بحاجة لأغاني,"[{""start"": 0, ""end"": 3, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""غزة"", ""mask_type"": ""LOC""}]"
test_000036,Public,وين راح العتيبي و ياسر والمرشدي ؟ ؟ ؟ من,وين راح [PERSON_1] و [PERSON_2] و[PERSON_3] ؟ ؟ ؟ من,"[{""start"": 8, ""end"": 15, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""العتيبي"", ""mask_type"": ""PERSON""}, {""start"": 18, ""end"": 22, ""placeholder"": ""[PERSON_2]"", ""surface_form"": ""ياسر"", ""mask_type"": ""PERSON""}, {""start"": 24, ""end"": 31, ""placeholder"": ""[PERSON_3]"", ""surface_form"": ""المرشدي"", ""mask_type"": ""PERSON""}]"
test_000038,Public,بداية الحرب الصليبيه الحديثة على الاسلام بداية من سويسرا والحين بلجيكا والباقي فالطريق وحنا نايمين والناس تطبخ علينا من جهة ايران والشيعه ومن جهة النصارى أما اليهود قصة ثانيه وصراع لا ينتهى,بداية الحرب الصليبيه الحديثة على الاسلام بداية من [LOC_1] والحين [LOC_2] والباقي فالطريق وحنا نايمين والناس تطبخ علينا من جهة [LOC_3] والشيعه ومن جهة النصارى أما اليهود قصة ثانيه وصراع لا ينتهى,"[{""start"": 50, ""end"": 56, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""سويسرا"", ""mask_type"": ""LOC""}, {""start"": 64, ""end"": 70, ""placeholder"": ""[LOC_2]"", ""surface_form"": ""بلجيكا"", ""mask_type"": ""LOC""}, {""start"": 124, ""end"": 129, ""placeholder"": ""[LOC_3]"", ""surface_form"": ""ايران"", ""mask_type"": ""LOC""}]"
test_000039,Public,المحافظ عدلي حسين يبدو أنك أعتدت على تلميع الأحذية لعائلة مبارك مساءا .,المحافظ [PERSON_1] يبدو أنك أعتدت على تلميع الأحذية لعائلة [PERSON_2] مساءا .,"[{""start"": 8, ""end"": 17, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""عدلي حسين"", ""mask_type"": ""PERSON""}, {""start"": 58, ""end"": 63, ""placeholder"": ""[PERSON_2]"", ""surface_form"": ""مبارك"", ""mask_type"": ""PERSON""}]"
test_000040,Public,سلام إلى بنت الجزائر سلام إلى حيزية,سلام إلى بنت [LOC_1] سلام إلى [PERSON_1],"[{""start"": 13, ""end"": 20, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""الجزائر"", ""mask_type"": ""LOC""}, {""start"": 30, ""end"": 35, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""حيزية"", ""mask_type"": ""PERSON""}]"
test_000042,Public,3 ) قيام أصحاب الاموال بتوكيل محاميين و حقوقيين لرفع الموضوع للمحكمة الاوروبية بعدم أحقية اي شخص منع المرأة المسلمة من لبس النقاب حيث أن بعض الدول تسمح بالعري التام,[NUM_1] ) قيام أصحاب الاموال بتوكيل محاميين و حقوقيين لرفع الموضوع ل[ORG_1] بعدم أحقية اي شخص منع المرأة المسلمة من لبس النقاب حيث أن بعض الدول تسمح بالعري التام,"[{""start"": 0, ""end"": 1, ""placeholder"": ""[NUM_1]"", ""surface_form"": ""3"", ""mask_type"": ""NUM""}, {""start"": 62, ""end"": 78, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""لمحكمة الاوروبية"", ""mask_type"": ""ORG""}]"
test_000045,Public,و 300 جرام زيت مش مكسوفين والنبى من نفسكم والله حاجة تكسف بناقص سكركم,و [NUM_1] جرام زيت مش مكسوفين والنبى من نفسكم والله حاجة تكسف بناقص سكركم,"[{""start"": 2, ""end"": 5, ""placeholder"": ""[NUM_1]"", ""surface_form"": ""300"", ""mask_type"": ""NUM""}]"
test_000049,Public,ايمن يونس كنت بحبه وكان ممثل بارع خدعنا طويلا بالديث عن الاخلاق ولما البلطجيه عملوها انكشف اول مره نشوف المخرج علطان علشان صور الحقيفه مصر بريئه من البلطجيه ومدخلش مصر مع هؤلاء السفله اللي فضحونا بره وجوه ده البطجي بطبعه وناقص تتهموا الاهلي بانه هو اللي حرض الزمالكاويه علي هذه الافعال المشينه والمسيئه انظر الي لاعبي الاهلي بعد مباره المقاولون لم تحدث همسه منهم وهذه البلطجه سببها الاعلام المنافق وخوفهم مناي انتقاد للتؤم وسلملي علي الاخ,[PERSON_1] كنت بحبه وكان ممثل بارع خدعنا طويلا بالديث عن الاخلاق ولما البلطجيه عملوها انكشف اول مره نشوف المخرج [PERSON_2] علشان صور الحقيفه [LOC_1] بريئه من البلطجيه ومدخلش [LOC_1] مع هؤلاء السفله اللي فضحونا بره وجوه ده البطجي بطبعه وناقص تتهموا [ORG_1] بانه هو اللي حرض [ORG_2] علي هذه الافعال المشينه والمسيئه انظر الي لاعبي [ORG_1] بعد مباره [ORG_3] لم تحدث همسه منهم وهذه البلطجه سببها الاعلام المنافق وخوفهم مناي انتقاد للتؤم وسلملي علي الاخ,"[{""start"": 0, ""end"": 9, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""ايمن يونس"", ""mask_type"": ""PERSON""}, {""start"": 111, ""end"": 116, ""placeholder"": ""[PERSON_2]"", ""surface_form"": ""علطان"", ""mask_type"": ""PERSON""}, {""start"": 135, ""end"": 138, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""مصر"", ""mask_type"": ""LOC""}, {""start"": 164, ""end"": 167, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""مصر"", ""mask_type"": ""LOC""}, {""start"": 234, ""end"": 240, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الاهلي"", ""mask_type"": ""ORG""}, {""start"": 258, ""end"": 269, ""placeholder"": ""[ORG_2]"", ""surface_form"": ""الزمالكاويه"", ""mask_type"": ""ORG""}, {""start"": 318, ""end"": 324, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الاهلي"", ""mask_type"": ""ORG""}, {""start"": 335, ""end"": 344, ""placeholder"": ""[ORG_3]"", ""surface_form"": ""المقاولون"", ""mask_type"": ""ORG""}]"
test_000050,Public,انا مش عارف والله شو المشكلة بالاتحاد الاعب محمد حديد من احسن لاعبي المنتخب ولم يلعب في بطولة العالم وها هو لن يلعب في بطولة كوبي اوساكا لا ادري ما السبب و محمد حديد من احد الرياضيين التي مرشة لنيل جائزة احسن رياضي في المملكة مش عارف والله وبالنسبة لجريدة الغد الالكترونية اشكر لها نشر الاخبار باكملها لاولاد الوطن المغتربين على فكرة محمد حديد في الصورة المعروضة,انا مش عارف والله شو المشكلة ب[ORG_1] الاعب [PERSON_1] من احسن لاعبي المنتخب ولم يلعب في بطولة العالم وها هو لن يلعب في بطولة [ORG_2] لا ادري ما السبب و [PERSON_1] من احد الرياضيين التي مرشة لنيل جائزة احسن رياضي في المملكة مش عارف والله وبالنسبة لجريدة [ORG_3] الالكترونية اشكر لها نشر الاخبار باكملها لاولاد الوطن المغتربين على فكرة [PERSON_1] في الصورة المعروضة,"[{""start"": 30, ""end"": 37, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الاتحاد"", ""mask_type"": ""ORG""}, {""start"": 44, ""end"": 53, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""محمد حديد"", ""mask_type"": ""PERSON""}, {""start"": 125, ""end"": 136, ""placeholder"": ""[ORG_2]"", ""surface_form"": ""كوبي اوساكا"", ""mask_type"": ""ORG""}, {""start"": 156, ""end"": 165, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""محمد حديد"", ""mask_type"": ""PERSON""}, {""start"": 256, ""end"": 260, ""placeholder"": ""[ORG_3]"", ""surface_form"": ""الغد"", ""mask_type"": ""ORG""}, {""start"": 334, ""end"": 343, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""محمد حديد"", ""mask_type"": ""PERSON""}]"
test_000051,Public,بالله ياعم عابد شوف الازدواجيه هذي ؟ ؟ وزارة الصحه تحذر الطلاب من دخول المعاهد الصحية الاهليه ؟ ؟ صندوق الموارد البشريه ( هدف ) يوقع اتفاقيات مع هذه المعاهد ؟ ؟ و لمن ؟ ؟ لابناء الاسر المحتاجه ؟ ؟ يعني بطاله بخطط مدروسه ؟ ؟ ومخط لها بشكل محترم ؟,بالله ياعم [PERSON_1] شوف الازدواجيه هذي ؟ ؟ [ORG_1] تحذر الطلاب من دخول المعاهد الصحية الاهليه ؟ ؟ [ORG_2] ( [ORG_3] ) يوقع اتفاقيات مع هذه المعاهد ؟ ؟ و لمن ؟ ؟ لابناء الاسر المحتاجه ؟ ؟ يعني بطاله بخطط مدروسه ؟ ؟ ومخط لها بشكل محترم ؟,"[{""start"": 11, ""end"": 15, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""عابد"", ""mask_type"": ""PERSON""}, {""start"": 39, ""end"": 50, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""وزارة الصحه"", ""mask_type"": ""ORG""}, {""start"": 98, ""end"": 119, ""placeholder"": ""[ORG_2]"", ""surface_form"": ""صندوق الموارد البشريه"", ""mask_type"": ""ORG""}, {""start"": 122, ""end"": 125, ""placeholder"": ""[ORG_3]"", ""surface_form"": ""هدف"", ""mask_type"": ""ORG""}]"
test_000055,Public,يعني مافي عندنا هم الا غنت فيروز ولا منعت فيروز . شو هالمشكلة العظيمة يعني اذا عنت بدنا نرجع الاقصى يا جماعة سيبكم من هالحكي وركزو في امور اهم بلا سفيرة نجوم بلا سفينة فضائية ! !,يعني مافي عندنا هم الا غنت [PERSON_1] ولا منعت [PERSON_1] . شو هالمشكلة العظيمة يعني اذا عنت بدنا نرجع الاقصى يا جماعة سيبكم من هالحكي وركزو في امور اهم بلا سفيرة نجوم بلا سفينة فضائية ! !,"[{""start"": 27, ""end"": 32, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""فيروز"", ""mask_type"": ""PERSON""}, {""start"": 42, ""end"": 47, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""فيروز"", ""mask_type"": ""PERSON""}]"
test_000056,Public,وبالنسبة للأخ عبدالمنعم سمور : ( يعني انت ما عندك ثقة بلاعبين الوحدات الاردني ؟ لحتى بتحكي انه الاندية اللي بمجموعتها قوية ؟ وبتنسى الفرق التي كانت من خيرة الاندية العربية في المجموعات والنهائيات مع النادي الفيصلي,وبالنسبة للأخ [PERSON_1] [PERSON_2] : ( يعني انت ما عندك ثقة بلاعبين [ORG_1] ؟ لحتى بتحكي انه الاندية اللي بمجموعتها قوية ؟ وبتنسى الفرق التي كانت من خيرة الاندية العربية في المجموعات والنهائيات مع [ORG_2],"[{""start"": 14, ""end"": 23, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""عبدالمنعم"", ""mask_type"": ""PERSON""}, {""start"": 24, ""end"": 28, ""placeholder"": ""[PERSON_2]"", ""surface_form"": ""سمور"", ""mask_type"": ""PERSON""}, {""start"": 62, ""end"": 77, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الوحدات الاردني"", ""mask_type"": ""ORG""}, {""start"": 199, ""end"": 213, ""placeholder"": ""[ORG_2]"", ""surface_form"": ""النادي الفيصلي"", ""mask_type"": ""ORG""}]"
test_000058,Public,انا ضرب عليا نار من الامن في احد المظاهرات في اسكندرية,انا ضرب عليا نار من الامن في احد المظاهرات في [LOC_1],"[{""start"": 46, ""end"": 54, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""اسكندرية"", ""mask_type"": ""LOC""}]"
